会社名,ホームページURL,代表者名,住所1,住所2,従業員数,資本金,設立年,設立月,上場区分,業態,業界1,業界2-1,業界2-2,業界2-3,業界2-4,業界2-5,業界2-6,業界2-7,業界2-8,業界2-9,業界2-10,業界2-11,業界2-12,業界2-13,業界2-14,業界2-15,業界2-16,業界2-17,業界2-18,業界2-19,業界2-20
ALH株式会社,https://www.alhinc.jp,畠山奨二,東京都,目黒区,1543,12800,2014,1,未上場,BtoB,IT,システム開発,デザイン,,,,,,,,,,,,,,,,,,,
明治安田システム・テクノロジー株式会社,https://www.mytecno.com,長嶋伸二,東京都,江東区,1389,10000,1982,4,未上場,BtoB,IT,システム開発,業務請負,保険,,,,,,,,,,,,,,,,,,
株式会社テプコシステムズ,http://www.tepsys.co.jp,権田勇治,東京都,江東区,974,35000,1977,7,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,,
株式会社フォーカスシステムズ,https://www.focus-s.com,森啓一,東京都,品川区,1454,290542,1977,4,プライム（内国株式）,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
株式会社中央コンピュータシステム,http://www.c-com.co.jp,村井雄一,東京都,江東区,896,17000,1961,6,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
Dynabook株式会社,https://dynabook.com,覚道清文,東京都,江東区,959,855000,1954,9,未上場,"BtoB,BtoC",IT,PC製造,システム開発,PC販売・修理,,,,,,,,,,,,,,,,,,
ANAシステムズ株式会社,http://www.anasystems.co.jp,藤本礼久,東京都,大田区,856,8000,2013,4,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,,
株式会社ブロードリーフ,http://www.broadleaf.co.jp,大山堅司,東京都,品川区,749,714791,2009,9,プライム（内国株式）,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
株式会社キャリタス,https://www.career-tasu.co.jp,新留正朗,東京都,文京区,804,5000,1973,10,未上場,"BtoC,BtoB",IT,Webアプリ・サービス運営,人材紹介,IT系教育,,,,,,,,,,,,,,,,,,
ソーバル株式会社,http://www.sobal.co.jp,推津敦,東京都,品川区,810,21427,1983,1,スタンダード（内国株式）,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
協栄産業株式会社,https://www.kyoei.co.jp,平澤潤,東京都,品川区,737,316182,1947,10,スタンダード（内国株式）,BtoB,IT,電子部品商社,システム開発,,,,,,,,,,,,,,,,,,,
株式会社エヌ・ティ・ティ・データCCS,http://www.nttdata-ccs.co.jp,新井健太郎,東京都,品川区,733,33000,1970,4,未上場,BtoB,IT,ITインフラストラクチャー,システム開発,,,,,,,,,,,,,,,,,,,
株式会社ヨシダ,http://www.yoshida-dental.co.jp,山中一剛,東京都,台東区,724,32000,1961,5,未上場,BtoB,IT,医療機器商社,システム開発,,,,,,,,,,,,,,,,,,,
SCSKシステムマネジメント株式会社,http://www.scsksm.co.jp,川上美岳,東京都,江東区,719,10000,2004,2,未上場,BtoB,IT,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,,,
JRAシステムサービス株式会社,http://www.jrass.jp,中村嘉宏,東京都,江東区,735,50000,1968,3,未上場,BtoB,IT,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,,
かんぽシステムソリューションズ株式会社,http://www.kamposol.jp-life.japanpost.jp,井戸潔,東京都,品川区,718,50000,1985,1,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
株式会社東邦システムサイエンス,http://www.tss.co.jp,小坂友康,東京都,文京区,671,52658,1971,6,プライム（内国株式）,BtoB,IT,,,,,,,,,,,,,,,,,,,,,
農中情報システム株式会社,http://www.nochu-info.co.jp,吉田光,東京都,江東区,717,10000,1981,5,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
エヌ・ティ・ティ・データ・ソフィア株式会社,http://www.nttdsofia.co.jp,村山智文,東京都,目黒区,676,8000,1983,10,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,,
日本プロセス株式会社,http://www.jpd.co.jp,多田俊郎,東京都,品川区,670,148741,1967,6,スタンダード（内国株式）,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
日の丸交通株式会社,https://hinomaru.tokyo,富田和孝,東京都,文京区,632,10000,1991,8,未上場,"BtoB,BtoC",IT,タクシー,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
日本自動化開発株式会社,https://www.jadc.co.jp,松尾充士,東京都,台東区,622,7200,1971,4,未上場,0,IT,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,,,
株式会社アルテニカ,http://artenica.jp,江川智之,東京都,品川区,607,1000,2013,4,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
アルプスシステムインテグレーション株式会社,http://www.alsi.co.jp,永倉仁哉,東京都,大田区,572,20050,1990,4,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
ウチダエスコ株式会社,http://www.esco.co.jp,長岡秀樹,東京都,江東区,591,33400,1972,11,未上場,BtoB,IT,システム開発,クラウド系・Fintech,,,,,,,,,,,,,,,,,,,
株式会社CIJネクスト,http://www.cij-next.co.jp,川上淳,東京都,品川区,566,10000,1975,4,未上場,BtoB,IT,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,,,
株式会社ゴルフダイジェスト・オンライン,https://company.golfdigest.co.jp,石坂信也,東京都,品川区,564,145895,2000,5,プライム（内国株式）,BtoC,IT,Webアプリ・サービス運営,ジム・フィットネス,,,,,,,,,,,,,,,,,,,
株式会社スポーツニッポン新聞社,https://sponichi.jp,小菅洋人,東京都,江東区,596,10000,1949,2,未上場,BtoC,IT,新聞,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
プログレス・テクノロジーズ株式会社,http://www.progresstech.jp,中山岳人,東京都,江東区,545,26000,2005,6,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,,
SCSKニアショアシステムズ株式会社,http://www.scsk-nearshore.co.jp,横山峰男,東京都,江東区,550,10000,2001,5,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,,
アドビ株式会社,https://www.adobe.com,神谷知信,東京都,品川区,545,18000,1992,1,未上場,"BtoC,BtoB",IT,システム開発,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
東京都ビジネスサービス株式会社,http://www.tokyotobs.co.jp,根津史明,東京都,江東区,540,10000,1986,12,未上場,BtoB,IT,事務処理代行,クラウド系・Fintech,障害者福祉,,,,,,,,,,,,,,,,,,
アディッシュ株式会社,https://www.adish.co.jp,江戸浩樹,東京都,品川区,540,5423,2014,10,グロース（内国株式）,"BtoB,BtoC",IT,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,,
株式会社WorkVision,https://workvision.net,大和田昭彦,東京都,品川区,497,10000,2012,10,未上場,BtoB,IT,クラウド系・Fintech,,,,,,,,,,,,,,,,,,,,
株式会社クレオ,https://www.creo.co.jp,柿﨑淳一,東京都,品川区,525,314900,1974,3,スタンダード（内国株式）,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
JTP株式会社,http://www.jtp.co.jp,森豊,東京都,品川区,501,79548,1987,10,スタンダード（内国株式）,BtoB,IT,システム開発,ITインフラストラクチャー,IT系教育,,,,,,,,,,,,,,,,,,
株式会社イノメディックス,http://www.innomedics.co.jp,二之宮義泰,東京都,文京区,495,7800,1951,3,未上場,BtoB,IT,医療機器,医療コンサル,,,,,,,,,,,,,,,,,,,
株式会社信興テクノミスト,https://www.shinko-1930.co.jp,池野大助,東京都,品川区,495,6000,1947,9,未上場,"BtoC,BtoB",IT,システム開発,,,,,,,,,,,,,,,,,,,,
株式会社大和総研インフォメーションシステムズ,http://www.dir-is.co.jp,岸本利彦,東京都,江東区,484,40000,1996,2,未上場,BtoB,IT,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,,,
コムシス情報システム株式会社,http://www.comjo.co.jp,井原正人,東京都,品川区,462,45000,2009,4,未上場,BtoB,IT,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,,,
株式会社OSK,https://www.kk-osk.co.jp,橋倉浩,東京都,墨田区,457,40000,1984,7,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
日本ナレッジ株式会社,https://www.know-net.co.jp,藤井洋一,東京都,台東区,465,21710,1985,10,グロース（内国株式）,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
アジアクエスト株式会社,https://www.asia-quest.jp,桃井純,東京都,文京区,460,41016,2012,4,グロース（内国株式）,"BtoC,BtoB",IT,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,,,
ケー・イー・エルテクニカルサービス株式会社,https://kel-kts.co.jp,鈴木勝人,東京都,江東区,435,3000,1996,7,未上場,BtoB,IT,PC・スマホ周辺機器製造,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,,
コンピューターサイエンス株式会社,http://www.cscnet.co.jp,安田秀敏,東京都,品川区,457,7000,1985,9,未上場,BtoB,IT,ITインフラストラクチャー,システム開発,,,,,,,,,,,,,,,,,,,
株式会社大崎コンピュータエンヂニアリング,https://www.oce.co.jp,武田健三,東京都,品川区,429,9000,1977,4,未上場,BtoB,IT,クラウド系・Fintech,,,,,,,,,,,,,,,,,,,,
セーフィー株式会社,https://safie.co.jp,佐渡島隆平,東京都,品川区,525,558435,2014,10,グロース（内国株式）,"BtoB,BtoC",IT,クラウド系・Fintech,,,,,,,,,,,,,,,,,,,,
ドコモ・データコム株式会社,https://www.docomo-dc.co.jp,村上享司,東京都,文京区,421,7000,1962,4,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,,
エイチ・シー・ネットワークス株式会社,https://www.hcnet.co.jp,大江愼一,東京都,台東区,397,32000,1981,7,未上場,BtoB,IT,PC・スマホ周辺機器製造,クラウド系・Fintech,,,,,,,,,,,,,,,,,,,
BEENOS株式会社,https://beenos.com,直井聖太,東京都,品川区,393,317500,1999,11,未上場,BtoB,IT,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,,
株式会社エヌ・ティ・ティ・データ・エンジニアリングシステムズ,http://www.nttd-es.co.jp,東和久,東京都,大田区,404,10000,1977,12,未上場,BtoB,IT,ITインフラストラクチャー,工業用機械商社,,,,,,,,,,,,,,,,,,,
インフォコムテクノロジーズ株式会社,https://infocom-tech.co.jp,豊山恵子,東京都,台東区,378,2000,1999,4,未上場,BtoB,IT,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,,,
株式会社メトロ,https://www.metro.co.jp,國清康之,東京都,品川区,380,31630,1971,7,未上場,BtoB,IT,システム開発,製造・技術人材派遣,,,,,,,,,,,,,,,,,,,
株式会社エム・ソフト,https://www.msoft.co.jp,佐藤圭介,東京都,台東区,326,10000,1987,8,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
One人事株式会社,https://onehr.jp,唐沢雄三郎,東京都,品川区,327,5000,2008,10,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
株式会社ビーズインターナショナル,https://www.bs-intl.jp,西方雄作,東京都,目黒区,320,4500,1990,12,未上場,"BtoB,BtoC",IT,レディースアパレル販売,総合系eコマース,メンズアパレル,,,,,,,,,,,,,,,,,,
株式会社オプティマ,http://www.opt.co.jp,森田宏樹,東京都,品川区,319,10000,1972,8,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
株式会社PKSHA Technology,https://www.pkshatech.com,上野山勝也,東京都,文京区,376,1000,2012,10,プライム（内国株式）,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
イーテクノロジー株式会社,https://www.japan.linkstec.co.jp,張宝泉,東京都,江東区,355,7000,2004,2,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,,
株式会社CLIS,http://www.clis.co.jp,石井健,東京都,品川区,383,10000,1990,4,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,,
トヨタエルアンドエフ東京株式会社,http://www.toyota-lf-tokyo.co.jp,小倉崇,東京都,品川区,326,35000,1964,2,未上場,BtoB,IT,工業用機械商社,ソフトウェア商社,機械レンタル,,,,,,,,,,,,,,,,,,
パクテラ・テクノロジー・ジャパン株式会社,https://jp.pactera.com,李勁松,東京都,江東区,394,40000,2002,8,未上場,BtoB,IT,システム開発,クラウド系・Fintech,,,,,,,,,,,,,,,,,,,
株式会社NTTデータ・インフォメーションテクノロジー,http://www.nttdata-china.co.jp,川本淳也,東京都,江東区,319,9500,2003,7,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,,
株式会社エス・イー・シー・ハイテック,https://sech.co.jp,大槻隆,東京都,品川区,318,3000,1989,7,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
株式会社コアテック,https://core-tech.jp,西條恭史,東京都,目黒区,314,9000,2009,2,未上場,BtoB,IT,デザイン,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
ナショナルソフトウェア株式会社,http://www.nationalsoftware.co.jp,新田聡,東京都,文京区,299,3000,2008,9,未上場,BtoB,IT,システム開発,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
日本証券テクノロジー株式会社,http://www.nstec.jp,小河原正晴,東京都,江東区,297,22800,1974,3,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
ナイル株式会社,http://nyle.co.jp,高橋飛翔,東京都,品川区,291,59553,2007,1,グロース（内国株式）,BtoB,IT,Webマーケコンサル,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
株式会社アイ・ティー・ワン,https://www.it-one.co.jp,竹内浩一,東京都,品川区,287,30977,1998,12,未上場,BtoB,IT,ITインフラストラクチャー,システム開発,,,,,,,,,,,,,,,,,,,
株式会社NTTデータSMS,http://www.nttdata-sms.co.jp,飯島勝美,東京都,江東区,1053,10000,1995,9,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
エヌ・ティ・ティ・ビズリンク株式会社,https://www.nttbiz.com,風見健史,東京都,文京区,219,240000,2001,7,未上場,BtoB,IT,クラウド系・Fintech,,,,,,,,,,,,,,,,,,,,
エム・ユー・エス情報システム株式会社,http://www.is.sc.mufg.jp,山縣一範,東京都,文京区,285,10000,1990,6,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,,
三報社印刷株式会社,https://www.sanposha.co.jp,永井祥道,東京都,江東区,273,9600,1949,1,未上場,"BtoC,BtoB",IT,紙媒体印刷,デジタル系コンテンツ,デザイン,,,,,,,,,,,,,,,,,,
アルファテック・ソリューションズ株式会社,https://www.alphatec-sol.co.jp,西山紀明,東京都,品川区,269,100000,1971,2,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
株式会社デファクトスタンダード,https://www.defactostandard.co.jp,仙頭健一,東京都,大田区,273,10000,2004,4,未上場,"BtoB,BtoC",IT,リサイクル,Webアプリ・サービス運営,eコマース,,,,,,,,,,,,,,,,,,
ユニインフォーメーション株式会社,https://www.uni-info.co.jp,新井脩,東京都,大田区,267,4300,1982,9,未上場,BtoB,IT,ITインフラストラクチャー,コールセンター,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,
日本総合システム株式会社,https://www.nssys.co.jp,伊藤俊秀,東京都,文京区,268,5000,1979,12,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
株式会社トラストバンク,https://www.trustbank.co.jp,川村憲一,東京都,品川区,264,12224,2012,4,未上場,"BtoB,BtoC",IT,Webアプリ・サービス運営,イベント,,,,,,,,,,,,,,,,,,,
株式会社CSMソリューション,https://www.cosmo.co.jp,関根淳,東京都,江東区,254,8000,1977,7,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
株式会社DSB情報システム,https://www.dsb-is.co.jp,佐藤公治,東京都,江東区,308,40000,1990,10,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
株式会社ビッツ,https://www.bits.co.jp,原田篤,東京都,品川区,276,10000,1971,7,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
アドバンテック株式会社,https://www2.advantech.co.jp,劉克振,東京都,台東区,256,6000,1997,5,未上場,BtoB,IT,システム開発,PC製造,,,,,,,,,,,,,,,,,,,
コムチュアネットワーク株式会社,https://www.comture-net.com,山下晶夫,東京都,品川区,250,5000,2011,2,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
FutureOne株式会社,https://www.future-one.co.jp,佐藤隆元,東京都,品川区,248,20000,2011,4,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
JFEコムサービス株式会社,https://www.jfe-comservice.co.jp,國安誠,東京都,台東区,252,20000,1986,10,未上場,BtoB,IT,ITインフラストラクチャー,システム開発,,,,,,,,,,,,,,,,,,,
株式会社タップ,https://www.tap-ic.co.jp,林悦男,東京都,江東区,318,8000,1985,3,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
コムコ株式会社,https://comco.co.jp,橋本有史,東京都,文京区,247,10000,1973,3,未上場,BtoB,IT,システム開発,デザイン,,,,,,,,,,,,,,,,,,,
株式会社エー・アール・シー,http://www.arcjp.com,太田貴之,東京都,品川区,243,7000,1980,8,未上場,BtoB,IT,ITインフラストラクチャー,システム開発,通信設備工事,,,,,,,,,,,,,,,,,,
株式会社フジミック,https://www.fujimic.com,吉本治,東京都,江東区,245,30000,1969,10,未上場,BtoB,IT,ITインフラストラクチャー,デジタル系コンテンツ,,,,,,,,,,,,,,,,,,,
株式会社リバスタ,https://www.rvsta.co.jp,高橋巧,東京都,江東区,245,10000,2007,6,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
メディア株式会社,https://www.media-inc.co.jp,辻啓延,東京都,文京区,237,10000,1982,12,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
株式会社コンピュータマネジメント,https://www.cm-net.co.jp,佐久間拓也,東京都,台東区,247,4000,1984,2,未上場,BtoB,IT,ITインフラストラクチャー,システム開発,,,,,,,,,,,,,,,,,,,
株式会社ニコン・トリンブル,https://www.nikon-trimble.co.jp,丹澤孝,東京都,大田区,234,9600,2003,4,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,,
ウェルスナビ株式会社,https://www.wealthnavi.com,柴山和久,東京都,品川区,225,396578,2015,4,未上場,BtoC,IT,クラウド系・Fintech,システム開発,,,,,,,,,,,,,,,,,,,
銀河ソフトウェア株式会社,http://www.ginga.co.jp,熊井久隆,東京都,目黒区,202,10000,1989,1,未上場,BtoB,IT,ITインフラストラクチャー,システム開発,,,,,,,,,,,,,,,,,,,
東芝エルイーソリューション株式会社,https://www.tles.co.jp,滝澤進,東京都,台東区,218,10000,2002,4,未上場,BtoB,IT,工業用機械商社,システム開発,,,,,,,,,,,,,,,,,,,
株式会社オーク情報システム,https://www.oakis.co.jp,古瀬耕司,東京都,品川区,212,4500,1986,1,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
株式会社JOE,https://www.joe-hr.com,吉岡達也,東京都,江東区,209,10000,1995,4,未上場,BtoB,IT,システム開発,組織コンサル,業務請負,,,,,,,,,,,,,,,,,,
株式会社ウェッブアイ,https://www.webi.co.jp,森川勇治,東京都,江東区,203,5000,2000,2,未上場,BtoB,IT,システム開発,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,,
株式会社セントラル,https://www.e-cec.jp,清水俊男,東京都,文京区,209,6000,1982,7,未上場,BtoB,IT,土木コンサル,システム開発,,,,,,,,,,,,,,,,,,,
ネクストフィールド株式会社,https://www.nf-nextfield.com,安田智洋,東京都,品川区,194,2000,2014,3,未上場,BtoB,IT,システム開発,製造・技術人材派遣,,,,,,,,,,,,,,,,,,,
トータリゼータエンジニアリング株式会社,http://www.tel-tota.com,中三川和則,東京都,品川区,209,40000,1975,12,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
アソビュー株式会社,https://www.asoview.co.jp,山野智久,東京都,品川区,194,100000,2011,3,未上場,"BtoC,BtoB",IT,Webアプリ・サービス運営,経営コンサル,システム開発,,,,,,,,,,,,,,,,,,
株式会社システムハウス.アイエヌジー,https://www.s-ing.co.jp,村越伸夫,東京都,台東区,196,4000,1985,1,未上場,BtoB,IT,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,,,
株式会社エム・オー・シー,http://www.mocweb.co.jp,南和俊,東京都,台東区,198,5000,1968,1,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,,
UEL株式会社,https://www.biprogy-uel.co.jp,長廣勲,東京都,江東区,191,10000,1984,11,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
カストマシステム株式会社,https://www.csys.co.jp,小林良輔,東京都,大田区,206,7000,1990,11,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,,
株式会社東京システムリサーチ,https://www.tsrweb.co.jp,鷹栖博,東京都,江東区,189,8000,1982,5,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
株式会社デジタル・ナレッジ,https://www.digital-knowledge.co.jp,はが弘明,東京都,台東区,183,4045,1995,12,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
株式会社ネクスウェイ,https://www.nexway.co.jp,松森正彦,東京都,江東区,186,30000,2004,10,未上場,BtoB,IT,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,,
株式会社ファインディックス,https://findix.co.jp,柳井利明,東京都,品川区,190,5000,2006,10,未上場,BtoB,IT,toCセミナー業界,ソフトウェア商社,,,,,,,,,,,,,,,,,,,
フォワードソフト株式会社,https://forward-soft.co.jp,清水健一,東京都,台東区,184,5000,2013,12,未上場,BtoB,IT,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,,,
iYell株式会社,https://iyell.co.jp,窪田光洋,東京都,目黒区,183,657000,2016,5,未上場,"BtoB,BtoC",IT,クラウド系・Fintech,システム開発,事務処理代行,,,,,,,,,,,,,,,,,,
PRONI株式会社,https://www.proni.co.jp,栗山規夫,東京都,品川区,186,10000,2012,10,未上場,BtoB,IT,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,,
株式会社ドリームス,https://www.dreams-game.com,有吉秀文,東京都,品川区,188,6000,1996,5,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,,
コミューン株式会社,https://communeinc.com,-,東京都,品川区,182,-,2018,5,未上場,-,IT,クラウド系・Fintech,,,,,,,,,,,,,,,,,,,,
株式会社インディペンデントインキュベータ,https://independent-incubator.com,山野敏宣,東京都,台東区,183,5000,2006,1,未上場,BtoB,IT,システム開発,デザイン,,,,,,,,,,,,,,,,,,,
ノックスデータ株式会社,https://www.knox.co.jp,小林義文,東京都,品川区,182,4500,1974,5,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
株式会社アクシオ,http://www.axio.co.jp,渡邉浩司,東京都,品川区,182,31000,1991,12,未上場,BtoB,IT,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,,,
株式会社アイ・ユー・ケイ,https://www.iukinc.co.jp,佐藤正修,東京都,文京区,181,10000,1983,5,未上場,BtoB,IT,ITインフラストラクチャー,システム開発,,,,,,,,,,,,,,,,,,,
ANEOS株式会社,https://www.aneos.co.jp,野澤裕,東京都,目黒区,176,1000,1965,9,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,,
株式会社宮川製作所,https://www.msk.co.jp,宮川恒太郎,東京都,目黒区,174,10000,1939,9,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
SMN株式会社,https://www.so-netmedia.jp,原山直樹,東京都,品川区,169,126806,2000,3,スタンダード（内国株式）,"BtoB,BtoC",IT,システム開発,インターネット広告代理店,,,,,,,,,,,,,,,,,,,
株式会社都築ソフトウェア,http://www.tsuzukisoft.co.jp,向田俊也,東京都,品川区,169,15200,1970,4,未上場,BtoB,IT,システム開発,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,,
dSPACE Japan株式会社,https://www.dspace.com,宮野隆,東京都,品川区,178,2500,2005,9,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
株式会社都築ソフトウェア,http://www.tsuzukisoft.co.jp,向田俊也,東京都,品川区,169,15200,1970,4,未上場,BtoB,IT,システム開発,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,,
株式会社グッド・フィール,http://www.good-feel.co.jp,梅崎重治,東京都,品川区,131,1400,2005,10,未上場,"BtoB,BtoC",IT,ゲーム開発,Webアプリ・サービス運営,ソーシャルゲーム・SNS,,,,,,,,,,,,,,,,,,
株式会社コムコシステム,https://www.comcosystem.co.jp,佐野朗,東京都,品川区,164,5000,1991,3,未上場,BtoB,IT,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,,,
キヤノンITSメディカル株式会社,https://canon.jp,黒井慶信,東京都,品川区,158,9600,1972,10,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
