会社名,ホームページURL,代表者名,住所1,住所2,従業員数,資本金,設立年,設立月,上場区分,業態,業界1,業界2-1,業界2-2,業界2-3,業界2-4,業界2-5,業界2-6,業界2-7,業界2-8,業界2-9,業界2-10,業界2-11,業界2-12,業界2-13,業界2-14,業界2-15,業界2-16,業界2-17,業界2-18,業界2-19,業界2-20
NECソリューションイノベータ株式会社,http://www.nec-solutioninnovators.co.jp,石井力,東京都,江東区,13981,866800,1975,9,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
SCSK株式会社,https://www.scsk.jp,爲房孝二,東京都,江東区,8993,2142000,1969,10,プライム（内国株式）,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
株式会社日立ソリューションズ,https://www.hitachi-solutions.co.jp,山本二雄,東京都,品川区,5385,2000000,1970,9,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
日本コンセントリクス株式会社,https://www.concentrix.com,山崎眞裕美,東京都,江東区,4037,31000,1990,6,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,,
株式会社U‐NEXT HOLDINGS,https://unext-hd.co.jp,宇野康秀,東京都,品川区,3820,9900,2009,2,プライム（内国株式）,BtoC,IT,Webアプリ・サービス運営,携帯・通信回線販売代理店,携帯・通信回線販売代理店,,,,,,,,,,,,,,,,,,
株式会社パスコ,https://www.pasco.co.jp,島村秀樹,東京都,目黒区,2876,875800,1949,7,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
アマゾンウェブサービスジャパン合同会社,https://aws.amazon.com,ハイミ・バレス,東京都,品川区,2944,39500,2009,8,未上場,"BtoB,BtoC",IT,クラウド系・Fintech,,,,,,,,,,,,,,,,,,,,
東芝テック株式会社,https://www.toshibatec.co.jp,錦織弘信,東京都,品川区,3154,3997000,1950,2,プライム（内国株式）,BtoB,IT,システム開発,印刷機械,,,,,,,,,,,,,,,,,,,
TOPPANコミュニケーションプロダクツ株式会社,https://www.toppan-c.co.jp,野島茂樹,東京都,台東区,2872,40000,2009,1,未上場,BtoB,IT,紙媒体印刷,情報セキュリティ,,,,,,,,,,,,,,,,,,,
ヤマトシステム開発株式会社,https://www.nekonet.co.jp,栗丸信昭,東京都,江東区,2539,180000,1973,1,未上場,BtoB,IT,システム開発,販促コンサル,経営コンサル,,,,,,,,,,,,,,,,,,
ユニアデックス株式会社,https://www.uniadex.co.jp,田中建,東京都,江東区,2677,75000,1997,3,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
フリー株式会社,http://www.freee.co.jp,佐々木大輔,東京都,品川区,2041,2634815,2012,7,グロース（内国株式）,BtoB,IT,クラウド系・Fintech,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
株式会社NTTデータグループ,https://www.nttdata.com,本間洋,東京都,江東区,1585,14252000,1988,5,プライム（内国株式）,BtoB,IT,システム開発,クラウド系・Fintech,,,,,,,,,,,,,,,,,,,
