会社名,ホームページURL,代表者名,住所1,住所2,従業員数,資本金,設立年,設立月,上場区分,業態,業界1,業界2-1,業界2-2,業界2-3,業界2-4,業界2-5,業界2-6,業界2-7,業界2-8,業界2-9,業界2-10,業界2-11,業界2-12,業界2-13,業界2-14,業界2-15,業界2-16,業界2-17,業界2-18,業界2-19,業界2-20
キヤノン化成株式会社,http://www.canon-kasei.co.jp,久保敦史,茨城県,つくば市,1636,570000,1950,5,未上場,BtoB,化学,化学品製造,,,,,,,,,,,,,,,,,,,,
福島キヤノン株式会社,https://fukushima.canon,相馬克良,福島県,福島市,1573,8000,1969,12,未上場,BtoB,化学,PC・スマホ周辺機器製造,塗料製造,,,,,,,,,,,,,,,,,,,
株式会社ニフコ山形,https://www.nifco-yamagata.co.jp,牧野忠良,山形県,山形市,366,30000,1990,2,未上場,BtoB,化学,樹脂製品製造,,,,,,,,,,,,,,,,,,,,
東北江南株式会社,https://t-kounan.co.jp,遠藤敏晶,福島県,二本松市,339,1000,1992,5,未上場,BtoB,化学,樹脂製品製造,,,,,,,,,,,,,,,,,,,,
株式会社レゾナック・テクノサービス,http://www.hitachi-chem-ts.co.jp,矢吹孝朗,茨城県,日立市,642,14000,1982,9,未上場,BtoB,化学,電子部品,樹脂製品製造,廃棄物処分,,,,,,,,,,,,,,,,,,
遠東石塚グリーンペット株式会社,https://www.figp.co.jp,山中昭廣,茨城県,境町,329,10000,2012,5,未上場,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
株式会社品川合成製作所,https://sinagawagousei.com,佐藤貴,秋田県,横手市,287,1100,1984,10,未上場,BtoB,化学,樹脂製品製造,,,,,,,,,,,,,,,,,,,,
ジョンソン・マッセイ・ジャパン合同会社,http://jmj.co.jp,小森充,栃木県,さくら市,284,30000,2012,3,未上場,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
川崎三興化成株式会社,http://kawasaki-sanko.jp,浅井正健,栃木県,さくら市,305,20000,1964,1,未上場,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
株式会社町田アンド町田商会,http://www.machida2.co.jp,町田容一郎,青森県,弘前市,272,3000,2000,4,未上場,"BtoC,BtoB",化学,調剤薬局,肥料・農薬製造,保険代理店,,,,,,,,,,,,,,,,,,
吉澤石灰工業株式会社,https://www.yoshizawa.co.jp,松原維一郎,栃木県,佐野市,249,20000,1939,9,未上場,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
株式会社キヤム,http://kkcam.co.jp,木村哲也,栃木県,壬生町,243,10000,1980,6,未上場,BtoB,化学,金型製造,樹脂製品製造,,,,,,,,,,,,,,,,,,,
株式会社ホクシンエレクトロニクス,https://www.hokushin-elec.co.jp,佐藤宗樹,秋田県,秋田市,242,1000,1991,11,未上場,BtoB,化学,電子部品,業務請負,,,,,,,,,,,,,,,,,,,
株式会社丹波屋,https://www.kk-tanbaya.co.jp,勝間真也,北海道,札幌市東区,230,40000,1943,1,未上場,BtoB,化学,肥料・農薬製造,木材系建材製造,,,,,,,,,,,,,,,,,,,
サンエツ工業株式会社,https://sanetsu-kogyo.co.jp,田中三郎,茨城県,笠間市,219,1000,1980,10,未上場,BtoB,化学,樹脂製品製造,,,,,,,,,,,,,,,,,,,,
岩手アライ株式会社,http://iwatearai.com,小松義和,岩手県,岩泉町,205,8000,1985,3,未上場,BtoB,化学,タイヤ製造・ゴム製品製造,,,,,,,,,,,,,,,,,,,,
エムシークロップ&ライフ化成株式会社,http://www.u-kasei.com,福永裕二,栃木県,宇都宮市,189,2000,1951,11,未上場,BtoB,化学,化学品製造,肥料・農薬製造,,,,,,,,,,,,,,,,,,,
笠原工業株式会社,http://www.s-kasahara.co.jp,笠原賢二,福島県,須賀川市,212,10000,1917,3,未上場,BtoB,化学,建設・土木設計,,,,,,,,,,,,,,,,,,,,
ホクレン肥料株式会社,http://www.hokurenhiryo.co.jp,関野哲正,北海道,札幌市中央区,209,10000,1966,1,未上場,BtoB,化学,肥料・農薬製造,,,,,,,,,,,,,,,,,,,,
平成理研株式会社,https://www.heiseiriken.co.jp,秋元和人,栃木県,宇都宮市,194,10000,1966,1,未上場,BtoB,化学,化学品製造,研究・調査・リサーチ,,,,,,,,,,,,,,,,,,,
株式会社岩手ファーム,https://www.iwate-farm.co.jp,中村徹,岩手県,盛岡市,207,8000,1977,11,未上場,BtoB,化学,食肉,肥料・農薬製造,,,,,,,,,,,,,,,,,,,
遠野興産株式会社,http://www.toono.co.jp,中野光,福島県,いわき市,183,1000,1977,2,未上場,"BtoC,BtoB",化学,木材系建材製造,肥料・農薬製造,廃棄物処分,,,,,,,,,,,,,,,,,,
ジェイ・エス・ピー・モールディング株式会社,https://www.co-jsp.co.jp,尼崎照幸,栃木県,鹿沼市,185,30000,2002,4,未上場,BtoB,化学,樹脂製品製造,,,,,,,,,,,,,,,,,,,,
ニデックインスツルメンツ秋田株式会社,https://www.nidec.com,三浦一彦,秋田県,由利本荘市,180,-,,,未上場,BtoB,化学,樹脂製品製造,,,,,,,,,,,,,,,,,,,,
