会社名,ホームページURL,代表者名,住所1,住所2,従業員数,資本金,設立年,設立月,上場区分,業態,業界1,業界2-1,業界2-2,業界2-3,業界2-4,業界2-5,業界2-6,業界2-7,業界2-8,業界2-9,業界2-10,業界2-11,業界2-12,業界2-13,業界2-14,業界2-15,業界2-16,業界2-17,業界2-18,業界2-19,業界2-20
三福工業株式会社,http://www.mitsufuku.co.jp,三井福太郎,栃木県,佐野市,173,3000,1948,4,未上場,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
北海道曹達株式会社,https://www.hokkaido-soda.co.jp,知幸,北海道,苫小牧市,158,122452,1949,5,未上場,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
東北東ソー化学株式会社,http://www.t-tosoh-chem.jp,廣長啓,山形県,酒田市,142,200000,1983,3,未上場,BtoB,化学,化学品製造,,,,,,,,,,,,,,,,,,,,
ダイワ工業株式会社,https://daiwa-kougyo.net,加賀谷尚志,秋田県,にかほ市,171,8000,1969,11,未上場,BtoB,化学,金型製造,樹脂製品製造,産業用ロボット,,,,,,,,,,,,,,,,,,
ムネカタ株式会社,https://www.munekata.co.jp,佐藤正幸,福島県,福島市,141,10000,2003,1,未上場,BtoB,化学,金型製造,樹脂製品製造,PC・スマホ周辺機器製造,,,,,,,,,,,,,,,,,,
アイリス・ファインプロダクツ株式会社,http://www.irisfinep.co.jp,大山富生,宮城県,仙台市青葉区,150,1000,2005,12,未上場,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
青葉化成株式会社,https://www.aobakasei.co.jp,石田一,宮城県,仙台市泉区,147,4000,1956,8,未上場,BtoB,化学,化学品製造,調味料,,,,,,,,,,,,,,,,,,,
三和精鋼株式会社,http://www.sanwa-pc.jp,眞部彰彦,秋田県,にかほ市,133,3000,1981,10,未上場,BtoB,化学,金属加工請負,樹脂製品製造,ステンレス製品製造,,,,,,,,,,,,,,,,,,
檜山工業株式会社,https://www.hiyama-ind.co.jp,檜山寛,茨城県,ひたちなか市,150,9900,1961,10,未上場,BtoB,化学,接着剤製造,,,,,,,,,,,,,,,,,,,,
ダイライト株式会社,http://www.dailite.co.jp,山口克己,茨城県,龍ケ崎市,141,9999,1963,10,未上場,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
東邦工業株式会社,http://www.toho.ne.jp,北村章剛,群馬県,安中市,132,5000,1960,4,未上場,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
株式会社タノ製作所,http://tanoss.jp,片野真吾,群馬県,高崎市,159,3000,1968,7,未上場,BtoB,化学,自動車部品製造,樹脂製品製造,,,,,,,,,,,,,,,,,,,
株式会社渡辺採種場,http://watanabe-seed.com,渡邉穎悦,宮城県,美里町,133,-,,,未上場,"BtoB,BtoC",化学,肥料・農薬製造,,,,,,,,,,,,,,,,,,,,
山形化成株式会社,http://www.yamagata-kasei.co.jp,渡辺和秋,山形県,大石田町,127,2500,1975,8,未上場,BtoB,化学,樹脂製品製造,金型製造,,,,,,,,,,,,,,,,,,,
富士化学株式会社,http://fujikagakukk.com,黒澤忠之,群馬県,前橋市,141,-,1973,3,未上場,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
キヤノンオプトロン株式会社,http://www.canon-optron.co.jp,奥浩志,茨城県,結城市,142,8000,1974,1,未上場,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
東日本積水工業株式会社,http://www.sekisui.co.jp,石平貴裕,群馬県,伊勢崎市,132,20000,1918,5,未上場,"BtoC,BtoB",化学,樹脂製品製造,家・事業所向け設備,,,,,,,,,,,,,,,,,,,
山形化成株式会社,http://www.yamagata-kasei.co.jp,渡辺和秋,山形県,大石田町,127,2500,1975,8,未上場,BtoB,化学,樹脂製品製造,金型製造,,,,,,,,,,,,,,,,,,,
鹿島ポリマー株式会社,http://www.k-polymer.co.jp,福島隆正,茨城県,神栖市,124,30000,1988,10,未上場,BtoB,化学,樹脂製品製造,,,,,,,,,,,,,,,,,,,,
横関油脂工業株式会社,http://yokozeki-yushi.jp,横関長太郎,茨城県,北茨城市,112,2880,1948,1,未上場,BtoB,化学,製粉・食用油,化学品製造,,,,,,,,,,,,,,,,,,,
旭化成カラーテック株式会社,https://www.asahi-kasei.co.jp,永島祐介,栃木県,壬生町,122,10000,1962,3,未上場,BtoB,化学,樹脂製品製造,,,,,,,,,,,,,,,,,,,,
株式会社アルメックステクノロジーズ,http://www.alxpe.com,渡部昌秀,栃木県,鹿沼市,109,40000,2006,10,未上場,BtoB,化学,化学機器,化学品製造,,,,,,,,,,,,,,,,,,,
株式会社東酸,http://www.kk-tosan.co.jp,葛西信二,青森県,青森市,118,7500,1948,1,未上場,BtoB,化学,ガス・燃料製品・採掘,化学品製造,建材商社,,,,,,,,,,,,,,,,,,
株式会社イワタ,https://kk-iwata.jp,岩田崇裕,群馬県,桐生市,113,-,,,未上場,BtoB,化学,樹脂製品製造,,,,,,,,,,,,,,,,,,,,
株式会社ニュートン,https://newton-ltd.co.jp,田面木哲也,岩手県,八幡平市,113,6787,2000,3,未上場,BtoB,化学,樹脂製品製造,,,,,,,,,,,,,,,,,,,,
クリタ・ケミカル製造株式会社,https://kuritaseizo.co.jp,浅野美登,茨城県,五霞町,112,5000,2009,4,未上場,BtoB,化学,化学品製造,,,,,,,,,,,,,,,,,,,,
株式会社砂永樹脂製作所,http://www.sunaga.co.jp,砂永吉亮,群馬県,太田市,110,2200,1957,12,未上場,BtoB,化学,樹脂製品製造,金型製造,自動車部品製造,,,,,,,,,,,,,,,,,,
モリマーコンポジット株式会社,https://www.molymer.co.jp,森修平,茨城県,北茨城市,109,8000,1990,1,未上場,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
サンリット化成株式会社,https://sunlit-ind.co.jp,齋藤道郎,山形県,長井市,110,9500,1990,1,未上場,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
株式会社刀川平和農園,http://www.tachikawa-heiwa.com,刀川貴美子,栃木県,鹿沼市,109,8200,1965,1,未上場,"BtoB,BtoC",化学,肥料・農薬製造,,,,,,,,,,,,,,,,,,,,
東洋科学株式会社,https://www.toyo-science.co.jp,植田滋,茨城県,古河市,106,9800,1962,5,未上場,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
株式会社モミモ,http://www.momimo.co.jp,栗原健二,群馬県,桐生市,107,9000,1949,3,未上場,BtoB,化学,自動車部品製造,樹脂製品製造,,,,,,,,,,,,,,,,,,,
クレハエクストロン株式会社,http://www.kureha-extron.co.jp,大橋隆志,茨城県,かすみがうら市,109,8500,1964,8,未上場,BtoB,化学,樹脂製品製造,,,,,,,,,,,,,,,,,,,,
道路建設株式会社,http://www.douken.co.jp,宮﨑健悟,北海道,苫小牧市,105,4000,1967,9,未上場,"BtoC,BtoB",化学,交通関連土木工事,肥料・農薬製造,土木工事,,,,,,,,,,,,,,,,,,
いがり産業株式会社,http://www.igari-inc.co.jp,猪狩崇,茨城県,笠間市,125,2000,,,未上場,BtoB,化学,樹脂製品製造,,,,,,,,,,,,,,,,,,,,
日本肥糧株式会社,https://www.nihonhiryo.co.jp,宮地克明,群馬県,藤岡市,104,30000,1949,12,未上場,BtoB,化学,肥料・農薬製造,,,,,,,,,,,,,,,,,,,,
北海道農材工業株式会社,http://www.nozai.co.jp,谷明郎,北海道,札幌市北区,98,8800,1947,5,未上場,BtoB,化学,窯業建材・石材,肥料・農薬製造,,,,,,,,,,,,,,,,,,,
明治合成株式会社,http://www.meijigs.co.jp,片瀬弥生,宮城県,大崎市,98,2000,1968,8,未上場,BtoB,化学,樹脂製品製造,,,,,,,,,,,,,,,,,,,,
株式会社新和製作所,http://www.shinwa-ss.co.jp,久保木宏,茨城県,日立市,93,3000,1969,12,未上場,BtoB,化学,樹脂製品製造,,,,,,,,,,,,,,,,,,,,
丸山株式会社,http://www.maru-yama.jp,佐藤義信,宮城県,蔵王町,93,1000,1971,4,未上場,"BtoC,BtoB",化学,ガソリンスタンド,肥料・農薬製造,食肉,,,,,,,,,,,,,,,,,,
株式会社サンライト,http://www.sun-lt.co.jp,吉田大樹,福島県,二本松市,96,1000,1974,11,未上場,BtoB,化学,樹脂製品製造,金型製造,,,,,,,,,,,,,,,,,,,
フジモールド工業株式会社,http://www.fuji-mold.jp,岡田英征,福島県,富岡町,91,3000,1974,8,未上場,BtoB,化学,金型製造,樹脂製品製造,,,,,,,,,,,,,,,,,,,
株式会社サナック,http://www.sankyokk.co.jp,山本亮輔,群馬県,玉村町,87,9000,1985,9,未上場,BtoB,化学,自動車部品製造,樹脂製品製造,電子部品,,,,,,,,,,,,,,,,,,
ダテックス株式会社,http://www.datecs.co.jp,中野克哉,茨城県,筑西市,86,1200,1959,12,未上場,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
新富士化成薬株式会社,http://www.shinfuji-kaseiyaku.co.jp,熊野正信,群馬県,高崎市,86,7000,1975,10,未上場,"BtoC,BtoB",化学,肥料・農薬製造,,,,,,,,,,,,,,,,,,,,
株式会社ホリテック,http://www.horitech-lim.com,河島豊,茨城県,坂東市,87,-,1983,1,未上場,BtoB,化学,樹脂製品製造,,,,,,,,,,,,,,,,,,,,
株式会社藏持,http://www.kk-kuramochi.co.jp,久保田雅則,茨城県,結城市,82,2100,1974,1,未上場,BtoB,化学,電子部品,樹脂製品製造,金属加工請負,,,,,,,,,,,,,,,,,,
高萩ニツカン株式会社,http://www.tnc-nikkan-ind.co.jp,下地左敏,茨城県,高萩市,81,10000,1985,4,未上場,BtoB,化学,樹脂製品製造,,,,,,,,,,,,,,,,,,,,
トチセン化成工業株式会社,http://www.tochisen-kasei.co.jp,小泉栄志,栃木県,足利市,86,300,1963,6,未上場,BtoB,化学,プラスチック包装製造,,,,,,,,,,,,,,,,,,,,
株式会社折一,http://www11.plala.or.jp,馬場仁,栃木県,日光市,85,4500,1964,8,未上場,BtoB,化学,紙類包装製造,接着剤製造,プラスチック包装製造,,,,,,,,,,,,,,,,,,
株式会社カトーコーポレーション,http://katoo.co.jp,加藤洋三,山形県,上山市,83,4800,1977,5,未上場,"BtoB,BtoC",化学,肥料・農薬製造,農産物食品商社,スーパー,,,,,,,,,,,,,,,,,,
株式会社エスティーワイ,http://www.shimazakikanagata.co.jp,島崎茂,栃木県,佐野市,78,9460,1988,7,未上場,BtoB,化学,樹脂製品製造,,,,,,,,,,,,,,,,,,,,
株式会社オガミ,http://ogami-corporation.com,尾上弘晃,群馬県,太田市,79,4680,1957,1,未上場,BtoB,化学,金型製造,,,,,,,,,,,,,,,,,,,,
株式会社大塚プラスチック工業,http://www.otsukaplastics.co.jp,大塚輝之,群馬県,富岡市,77,1000,1984,7,未上場,BtoB,化学,樹脂製品製造,,,,,,,,,,,,,,,,,,,,
群馬レジン株式会社,http://www.g-resin.com,箱田一孝,群馬県,太田市,75,1000,1981,11,未上場,BtoB,化学,樹脂製品製造,,,,,,,,,,,,,,,,,,,,
新東北化学工業株式会社,http://www.s-zeolite.com,松本浩,宮城県,仙台市青葉区,74,4000,1963,12,未上場,BtoB,化学,肥料・農薬製造,,,,,,,,,,,,,,,,,,,,
キョーラクプラテック株式会社,http://www.krk-p.co.jp,河合清隆,茨城県,土浦市,81,8500,1963,9,未上場,BtoB,化学,樹脂製品製造,,,,,,,,,,,,,,,,,,,,
カブトプラテク株式会社,http://www.kabutoplatec.co.jp,加部東伸一,茨城県,茨城町,76,1000,1970,3,未上場,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
水戸精工株式会社,http://www.mitoseiko.co.jp,舘裕一,茨城県,ひたちなか市,72,1050,1985,4,未上場,BtoB,化学,樹脂製品製造,,,,,,,,,,,,,,,,,,,,
群馬レジン株式会社,http://www.g-resin.com,箱田一孝,群馬県,太田市,75,1000,1981,11,未上場,BtoB,化学,樹脂製品製造,,,,,,,,,,,,,,,,,,,,
植木プラスチック株式会社,http://www.uepura.com,植木宗一郎,群馬県,太田市,74,3960,1974,9,未上場,BtoB,化学,樹脂製品製造,,,,,,,,,,,,,,,,,,,,
株式会社北日本金型工業,http://www.njmould.co.jp,小椋庄太,福島県,会津若松市,71,1000,1978,12,未上場,0,化学,金型製造,,,,,,,,,,,,,,,,,,,,
コバテック株式会社,http://www.kobatechkk.co.jp,小林清三,福島県,本宮市,71,1000,1970,9,未上場,BtoB,化学,樹脂製品製造,,,,,,,,,,,,,,,,,,,,
JX金属苫小牧ケミカル株式会社,http://www.tomakomai-chemical.com,森明秀行,北海道,苫小牧市,70,10000,1992,7,未上場,BtoB,化学,廃棄物処分,化学品製造,,,,,,,,,,,,,,,,,,,
佐藤化学工業株式会社,http://www.satochem.co.jp,佐藤次男,秋田県,にかほ市,70,-,,,未上場,BtoB,化学,化学品製造,リサイクル,,,,,,,,,,,,,,,,,,,
株式会社那須ナーセリー,http://www.482.co.jp,落合潤,栃木県,那須町,68,1000,1973,1,未上場,"BtoC,BtoB",化学,肥料・農薬製造,ゴルフ,,,,,,,,,,,,,,,,,,,
株式会社グラノプト,http://www.granopt.jp,山口英治,秋田県,能代市,68,10000,2005,4,未上場,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
有限会社金子ファーム,http://www.kaneko-farm.jp,金子吉行,青森県,七戸町,67,-,,,未上場,"BtoC,BtoB",化学,食肉,肥料・農薬製造,eコマース,,,,,,,,,,,,,,,,,,
太陽肥料株式会社,http://www.taiyohiryo.co.jp,加藤和久,茨城県,神栖市,68,30000,1936,5,未上場,BtoB,化学,肥料・農薬製造,,,,,,,,,,,,,,,,,,,,
株式会社長浜合成工業所,http://www.nagahama-ppt.co.jp,長浜清行,茨城県,古河市,65,1000,1981,1,未上場,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
株式会社トライス,http://tris.iwate.jp,菅村泰介,岩手県,盛岡市,65,4000,1972,2,未上場,BtoB,化学,空調設備工事,化学品製造,衛生設備工事,,,,,,,,,,,,,,,,,,
日本化薬フードテクノ株式会社,http://www.foodtechno.co.jp,土渕智正,群馬県,高崎市,64,30000,1995,6,未上場,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
株式会社HKSP,http://www.hitachi-chem.co.jp,新保尚文,茨城県,日立市,64,40000,2014,4,未上場,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
東北化工株式会社,http://www.tci-web.co.jp,葭内暁,栃木県,那須烏山市,64,10000,1961,10,未上場,BtoB,化学,化学品製造,,,,,,,,,,,,,,,,,,,,
株式会社シンセイ,http://trading-shinsei.co.jp,太楽進,福島県,石川町,63,6000,2004,7,未上場,BtoB,化学,肥料・農薬製造,,,,,,,,,,,,,,,,,,,,
田源石灰工業株式会社,http://www.tagen.co.jp,山本貴行,栃木県,栃木市,62,9500,2011,3,未上場,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
太陽ファインケミカル株式会社,http://www.chugaichem.co.jp,小林慶一,福島県,二本松市,64,4950,1950,9,未上場,BtoB,化学,化学品製造,肥料・農薬製造,製薬,,,,,,,,,,,,,,,,,,
鹿島サービス株式会社,https://www.shinetsu.co.jp,豊田和弘,茨城県,神栖市,61,1000,,,未上場,BtoB,化学,樹脂製品製造,,,,,,,,,,,,,,,,,,,,
株式会社大西ライト工業所,http://onishilite.co.jp,大西健太郎,群馬県,桐生市,61,5000,1961,6,未上場,BtoB,化学,樹脂製品製造,自動車部品製造,,,,,,,,,,,,,,,,,,,
三研ソイル株式会社,http://sankensoil.jp,遠藤良貴,岩手県,八幡平市,60,1500,2001,10,未上場,BtoB,化学,肥料・農薬製造,,,,,,,,,,,,,,,,,,,,
中央精工株式会社,http://chuo-seiko.co.jp,佐々木工,北海道,旭川市,60,1000,1970,1,未上場,BtoB,化学,金属加工請負,電子部品,金型製造,,,,,,,,,,,,,,,,,,
関東精密株式会社,http://www.kantohseimitu.co.jp,境章夫,栃木県,小山市,59,4000,1983,12,未上場,BtoB,化学,金属加工請負,樹脂製品製造,,,,,,,,,,,,,,,,,,,
株式会社タカノ,http://www.kk-takano.co.jp,高野英治,群馬県,太田市,64,2000,1969,1,未上場,BtoB,化学,金型製造,化学品製造,,,,,,,,,,,,,,,,,,,
株式会社斉藤光学製作所,https://saito-os.com,齊藤伸英,秋田県,美郷町,60,1000,1977,11,未上場,BtoB,化学,金属加工請負,樹脂製品製造,研究・調査・リサーチ,,,,,,,,,,,,,,,,,,
第一レジン工業株式会社,http://www.watv.ne.jp,清水章世,栃木県,足利市,58,1200,1960,1,未上場,BtoB,化学,樹脂製品製造,金型製造,,,,,,,,,,,,,,,,,,,
有限会社ハルラン,https://www.haruran.com,萩原勲,群馬県,東吾妻町,58,330,1995,1,未上場,BtoB,化学,食肉,肥料・農薬製造,,,,,,,,,,,,,,,,,,,
馬淵建設株式会社,http://www.mabuchikensetu.co.jp,久保隆,北海道,岩見沢市,53,5000,1970,1,未上場,"BtoC,BtoB",化学,肥料・農薬製造,交通関連土木工事,土木工事,,,,,,,,,,,,,,,,,,
那須高原牧場株式会社,http://www.nasukogenbokujyo.co.jp,観音堂靖,栃木県,那須町,58,30000,1961,8,未上場,BtoB,化学,食肉,肥料・農薬製造,,,,,,,,,,,,,,,,,,,
株式会社関東農産,http://www.kantoh-ap.co.jp,郡司祐一,栃木県,那須町,55,1000,1989,1,未上場,"BtoC,BtoB",化学,肥料・農薬製造,,,,,,,,,,,,,,,,,,,,
株式会社ビッグフィールド,http://dp25050479.lolipop.jp,太田源一,山形県,米沢市,54,300,2001,1,未上場,"BtoC,BtoB",化学,乳製品,肥料・農薬製造,,,,,,,,,,,,,,,,,,,
株式会社SCT,http://www.scratch-ltd.jp,下田順彌,群馬県,伊勢崎市,52,1000,1960,12,未上場,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
株式会社アイスジャパン,https://www.icejapan.jp,松岡正昭,北海道,室蘭市,52,5600,1981,11,未上場,"BtoB,BtoC",化学,化学品製造,日用品製造,,,,,,,,,,,,,,,,,,,
ウォールボンド工業株式会社,http://www.wallbond.jp,松下眞一郎,群馬県,邑楽町,51,3000,1948,5,未上場,BtoB,化学,接着剤製造,,,,,,,,,,,,,,,,,,,,
株式会社創研,http://www.souken-co.jp,小此木等,栃木県,鹿沼市,51,4000,1976,3,未上場,BtoB,化学,金属加工請負,樹脂製品製造,接着剤製造,,,,,,,,,,,,,,,,,,
株式会社三好製作所,http://www.miyoshi-ss.com,川村佳敬,北海道,室蘭市,50,1100,1952,2,未上場,"BtoC,BtoB",化学,樹脂製品製造,,,,,,,,,,,,,,,,,,,,
ダイヤケミカル株式会社,http://www.diac.co.jp,坂口隆,栃木県,小山市,51,1000,2005,8,未上場,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
両毛成型品塗装株式会社,http://ryomoseikei.com,板橋信行,群馬県,太田市,49,2000,1983,10,未上場,BtoB,化学,樹脂製品製造,,,,,,,,,,,,,,,,,,,,
株式会社浮間化学研究所,http://www.ukima-chemical.co.jp,伊藤誠,福島県,いわき市,51,4999,1945,4,未上場,BtoB,化学,化学品製造,半導体,,,,,,,,,,,,,,,,,,,
株式会社宮原合成,http://www.miyaharagousei.co.jp,宮原一二,群馬県,桐生市,50,1000,1978,9,未上場,BtoB,化学,樹脂製品製造,金型製造,,,,,,,,,,,,,,,,,,,
株式会社ジェイ・オー・エヌ・七二,http://www.jon72.co.jp,鈴木勝,茨城県,北茨城市,50,3500,1989,10,未上場,BtoB,化学,樹脂製品製造,,,,,,,,,,,,,,,,,,,,
中央シリカ株式会社,http://www.chuosilika.co.jp,西田信彦,秋田県,北秋田市,50,8000,1977,4,未上場,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
株式会社一倉製作所,https://www.ichikura-ss.jp,一倉史人,群馬県,榛東村,49,2000,1967,11,未上場,BtoB,化学,樹脂製品製造,金型製造,,,,,,,,,,,,,,,,,,,
サンケミファ株式会社,http://3maru.co.jp,照井潤,宮城県,仙台市青葉区,49,8000,1993,12,未上場,BtoB,化学,製薬,化学品製造,,,,,,,,,,,,,,,,,,,
日本特殊コーティング株式会社,https://www.jfctp.co.jp,宇加地孝志,茨城県,土浦市,48,9200,1982,5,未上場,BtoB,化学,塗料製造,樹脂製品製造,,,,,,,,,,,,,,,,,,,
三愛理研株式会社,http://san-ai-riken.co.jp,斉藤真一,茨城県,潮来市,48,1000,1971,1,未上場,BtoB,化学,化学品製造,プラスチック包装製造,日用品製造,,,,,,,,,,,,,,,,,,
有限会社田名網化工,http://www.tanaami-kako.jp,田名網昭,栃木県,佐野市,48,300,1991,4,未上場,BtoB,化学,樹脂製品製造,自動車部品製造,タイヤ製造・ゴム製品製造,,,,,,,,,,,,,,,,,,
株式会社WING,https://wing-pp.co.jp,髙橋福巳,岩手県,北上市,48,300,1999,12,未上場,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
鶴見化学工業株式会社,http://www.tsurumichemical.co.jp,加藤文男,茨城県,神栖市,48,4600,,,未上場,BtoB,化学,接着剤製造,,,,,,,,,,,,,,,,,,,,
天童環境株式会社,http://www.tendokankyo.jp,片桐健悦,山形県,天童市,47,1000,1977,4,未上場,"BtoC,BtoB",化学,廃棄物収集,肥料・農薬製造,マンション・ビル管理,,,,,,,,,,,,,,,,,,
新酸素化学株式会社,http://www.sskc.co.jp,小泉謙治,北海道,苫小牧市,47,250000,1980,7,未上場,BtoB,化学,化学品製造,,,,,,,,,,,,,,,,,,,,
株式会社丸橋製作所,http://marubashi-ss.com,牛久保聖視,群馬県,伊勢崎市,47,3000,1943,4,未上場,BtoB,化学,樹脂製品製造,金属部品製造,,,,,,,,,,,,,,,,,,,
ワイディープラスチックス株式会社,http://www.dic-plas.co.jp,-,北海道,北広島市,47,30000,2002,4,未上場,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
グリーンプラン株式会社,http://www.hidakami.co.jp,佐藤寿男,宮城県,登米市,47,1000,2000,7,未上場,BtoB,化学,肥料・農薬製造,,,,,,,,,,,,,,,,,,,,
有限会社稚内グリーンフアクトリー,http://www.w-greenfactory.co.jp,渡辺義範,北海道,稚内市,47,300,1993,7,未上場,"BtoB,BtoC",化学,肥料・農薬製造,化粧品販売,造園工事,,,,,,,,,,,,,,,,,,
茨城三和化工株式会社,https://www.sanwa-chemi.co.jp,吉田典生,茨城県,石岡市,47,5000,,,未上場,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
株式会社友工社,http://yukosha-gr.co.jp,友部則一,茨城県,日立市,47,1175,1964,1,未上場,BtoB,化学,産業用ロボット,,,,,,,,,,,,,,,,,,,,
株式会社シリカ高研,http://www.silica-koken.co.jp,垂水有三,山形県,鶴岡市,46,5000,1990,1,未上場,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
大日ケミカル株式会社,https://www.daicel.com,-,福島県,いわき市,46,20000,1991,10,未上場,BtoB,化学,化学品製造,,,,,,,,,,,,,,,,,,,,
