会社名,ホームページURL,代表者名,住所1,住所2,従業員数,資本金,設立年,設立月,上場区分,業態,業界1,業界2-1,業界2-2,業界2-3,業界2-4,業界2-5,業界2-6,業界2-7,業界2-8,業界2-9,業界2-10,業界2-11,業界2-12,業界2-13,業界2-14,業界2-15,業界2-16,業界2-17,業界2-18,業界2-19,業界2-20
株式会社Yostar,https://www.yostar.co.jp,李衡達,東京都,千代田区,318,500,2017,1,未上場,BtoC,ゲーム,ソーシャルゲーム・SNS,,,,,,,,,,,,,,,,,,,,
株式会社ルーデル,https://rudel.jp,渡邉真,東京都,新宿区,325,9000,2013,2,未上場,BtoB,ゲーム,ソーシャルゲーム・SNS,インターネット広告代理店,,,,,,,,,,,,,,,,,,,
株式会社クリーチャーズ,https://www.creatures.co.jp,田中宏和,東京都,千代田区,298,9000,1995,11,未上場,BtoB,ゲーム,ゲーム開発,,,,,,,,,,,,,,,,,,,,
株式会社サイバーコネクトツー,https://www.cc2.co.jp,松山洋,福岡県,福岡市博多区,301,4000,1996,2,未上場,BtoB,ゲーム,ゲーム開発,ソーシャルゲーム・SNS,,,,,,,,,,,,,,,,,,,
アソビモ株式会社,https://asobimo.com,近藤克紀,東京都,豊島区,317,10000,2003,11,未上場,BtoC,ゲーム,ソーシャルゲーム・SNS,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
株式会社エイチームライフデザイン,https://life-design.a-tm.co.jp,林高生,愛知県,名古屋市中村区,279,5000,2013,8,未上場,BtoC,ゲーム,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,,
Happy Elements株式会社,https://www.happyelements.co.jp,新井元基,京都府,京都市下京区,293,5000,2010,4,未上場,BtoC,ゲーム,ソーシャルゲーム・SNS,,,,,,,,,,,,,,,,,,,,
NTTソルマーレ株式会社,http://www.nttsolmare.com,朝日利彰,大阪府,大阪市中央区,273,10000,2002,4,未上場,"BtoB,BtoC",ゲーム,Webアプリ・サービス運営,ソーシャルゲーム・SNS,,,,,,,,,,,,,,,,,,,
株式会社スパイク・チュンソフト,http://www.spike-chunsoft.co.jp,櫻井光俊,東京都,品川区,271,48090,1984,4,未上場,BtoC,ゲーム,ゲーム開発,,,,,,,,,,,,,,,,,,,,
株式会社ドリコム,https://drecom.co.jp,内藤裕紀,東京都,品川区,278,188031,2001,11,グロース（内国株式）,BtoC,ゲーム,ソーシャルゲーム・SNS,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
株式会社ゲームフリーク,https://www.gamefreak.co.jp,田尻智,東京都,千代田区,251,1000,1989,4,未上場,"BtoB,BtoC",ゲーム,,,,,,,,,,,,,,,,,,,,,
NHN PlayArt株式会社,http://www.nhn-playart.com,丁佑鎭,東京都,港区,254,310000,2013,4,未上場,BtoC,ゲーム,ソーシャルゲーム・SNS,,,,,,,,,,,,,,,,,,,,
辰巳電子工業株式会社,http://www.tatsu-mi.co.jp,辰巳聡,奈良県,橿原市,173,3000,1970,8,未上場,"BtoC,BtoB",ゲーム,ゲーム開発,ソーシャルゲーム・SNS,,,,,,,,,,,,,,,,,,,
株式会社バンク・オブ・イノベーション,https://boi.jp,樋口智裕,東京都,新宿区,249,56200,2006,1,グロース（内国株式）,BtoC,ゲーム,ソーシャルゲーム・SNS,,,,,,,,,,,,,,,,,,,,
株式会社エイティング,https://www.8ing.co.jp,鮫島保彦,東京都,品川区,242,10000,1993,3,未上場,BtoB,ゲーム,ゲーム開発,,,,,,,,,,,,,,,,,,,,
株式会社コジマプロダクション,http://www.kojimaproductions.jp,小島秀夫,東京都,港区,216,500,2015,12,未上場,BtoC,ゲーム,ゲーム開発,,,,,,,,,,,,,,,,,,,,
株式会社ポリフォニー・デジタル,http://www.polyphony.co.jp,山内一典,東京都,江東区,241,1000,1998,4,未上場,BtoB,ゲーム,ゲーム開発,,,,,,,,,,,,,,,,,,,,
株式会社サクセス,https://www.success-corp.co.jp,吉成隆杜,東京都,品川区,231,10000,1978,6,未上場,"BtoB,BtoC",ゲーム,ゲーム開発,パチンコ,,,,,,,,,,,,,,,,,,,
コナミグループ株式会社,https://www.konami.com,東尾公彦,東京都,中央区,277,4739800,1973,3,プライム（内国株式）,BtoC,ゲーム,ゲーム開発,ジム・フィットネス,パチンコ,,,,,,,,,,,,,,,,,,
株式会社ゲームスタジオ,https://www.gamestudio.co.jp,福田尚弘,東京都,港区,226,7000,2004,4,未上場,"BtoB,BtoC",ゲーム,ゲーム開発,Web制作,,,,,,,,,,,,,,,,,,,
株式会社ネクソン,https://www.nexon.co.jp,オウェンマホニ,東京都,港区,230,4741200,2002,12,プライム（内国株式）,BtoC,ゲーム,ソーシャルゲーム・SNS,,,,,,,,,,,,,,,,,,,,
株式会社KMS,https://kms3.com,梶原健太郎,東京都,品川区,229,2999,2015,7,未上場,"BtoC,BtoB",ゲーム,デジタル系コンテンツ,ソーシャルゲーム・SNS,,,,,,,,,,,,,,,,,,,
