会社名,ホームページURL,代表者名,住所1,住所2,従業員数,資本金,設立年,設立月,上場区分,業態,業界1,業界2-1,業界2-2,業界2-3,業界2-4,業界2-5,業界2-6,業界2-7,業界2-8,業界2-9,業界2-10,業界2-11,業界2-12,業界2-13,業界2-14,業界2-15,業界2-16,業界2-17,業界2-18,業界2-19,業界2-20
株式会社金津技研,https://kanazugiken.com,伊藤憲治,福井県,あわら市,380,3000,1973,4,未上場,BtoB,化学,電子部品,製造・技術人材派遣,,,,,,,,,,,,,,,,,,,
山一精工株式会社,https://www.yama-s.co.jp,中野秀樹,石川県,金沢市,343,9500,1975,8,未上場,BtoB,化学,樹脂製品製造,,,,,,,,,,,,,,,,,,,,
多摩化学工業株式会社,http://www.tama-chem.co.jp,長俊連,神奈川県,川崎市川崎区,338,30000,1949,10,未上場,BtoB,化学,化学品製造,,,,,,,,,,,,,,,,,,,,
肥田電器株式会社,http://www.hidadenki.co.jp,肥田悦和,石川県,中能登町,323,3200,1943,9,未上場,"BtoC,BtoB",化学,樹脂製品製造,雑貨製造,eコマース,,,,,,,,,,,,,,,,,,
十全化学株式会社,https://www.juzen-job.jp,廣田大輔,富山県,富山市,339,6500,1950,11,未上場,BtoB,化学,製薬,化学品製造,研究・調査・リサーチ,,,,,,,,,,,,,,,,,,
株式会社リッチェル,https://www.richell.co.jp,渡辺信樹,富山県,富山市,323,61800,1960,7,未上場,"BtoB,BtoC",化学,eコマース,eコマース,,,,,,,,,,,,,,,,,,,
株式会社ENEOS NUC,http://www.nuc-pe.jp,佐藤啓喜,神奈川県,川崎市川崎区,320,200000,1961,1,未上場,BtoB,化学,樹脂製品製造,,,,,,,,,,,,,,,,,,,,
株式会社エコー,http://www.kk-echo.com,林広徳,神奈川県,厚木市,316,10000,1961,8,未上場,BtoB,化学,樹脂製品製造,光学機器・レンズ,精密機器,,,,,,,,,,,,,,,,,,
出光ルブテクノ株式会社,https://www.idemitsu-lb.com,鈴木忠,神奈川県,川崎市川崎区,289,1000,2002,6,未上場,BtoB,化学,化学品製造,,,,,,,,,,,,,,,,,,,,
協友アグリ株式会社,http://www.kyoyu-agri.co.jp,上園孝雄,神奈川県,川崎市高津区,290,220000,1938,3,未上場,BtoB,化学,肥料・農薬製造,,,,,,,,,,,,,,,,,,,,
株式会社トリケミカル研究所,https://www.trichemical.com,太附聖,山梨県,上野原市,286,327891,1978,12,プライム（内国株式）,BtoB,化学,,,,,,,,,,,,,,,,,,,,,
