会社名,ホームページURL,代表者名,住所1,住所2,従業員数,資本金,設立年,設立月,上場区分,業態,業界1,業界2-1,業界2-2,業界2-3,業界2-4,業界2-5,業界2-6,業界2-7,業界2-8,業界2-9,業界2-10,業界2-11,業界2-12,業界2-13,業界2-14,業界2-15,業界2-16,業界2-17,業界2-18,業界2-19,業界2-20
株式会社メビウス,https://www.mob.co.jp,加藤幸久,新潟県,新潟市中央区,297,24000,1983,10,未上場,BtoB,IT,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,,,
株式会社シーティーエス,https://www.cts-h.co.jp,横島泰蔵,長野県,上田市,290,300000,1972,4,プライム（内国株式）,BtoB,IT,交通関連土木工事,,,,,,,,,,,,,,,,,,,,
株式会社SBS情報システム,http://www.sbs-infosys.co.jp,松澤正典,静岡県,静岡市駿河区,263,8800,1999,7,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
株式会社インフォファーム,https://www.infofarm.co.jp,辻博文,岐阜県,岐阜市,261,8000,1969,11,未上場,BtoB,IT,システム開発,IT系教育,,,,,,,,,,,,,,,,,,,
株式会社ネクサス,http://www.nexus-nt.co.jp,髙山敏夫,静岡県,,187,1500,2015,1,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,,
静銀ITソリューション株式会社,https://www.shizuoka-cs.co.jp,杉本操,静岡県,静岡市清水区,223,5420,1974,4,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,,
遠鉄システムサービス株式会社,https://www.ess.co.jp,佐野智史,静岡県,,231,10000,1984,9,未上場,BtoB,IT,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,,,
株式会社スクロール360,https://www.scroll360.jp,西田耕三,静岡県,,231,9500,1986,3,未上場,BtoB,IT,Webマーケコンサル,システム開発,,,,,,,,,,,,,,,,,,,
株式会社テクノサイト,http://www.technosite.co.jp,大久保節夫,静岡県,島田市,219,6000,1990,11,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
本多通信工業株式会社,https://www.htk-jp.com,樫尾欣司,長野県,御代田町,245,49000,1947,6,未上場,BtoB,IT,電子部品,システム開発,,,,,,,,,,,,,,,,,,,
株式会社ティージェイエス,https://www.tjs-net.co.jp,岡部高幸,静岡県,静岡市清水区,307,1200,1979,10,未上場,"BtoB,BtoC",IT,ソフトウェア商社,高齢者福祉,製造・技術人材派遣,,,,,,,,,,,,,,,,,,
サンエツ運輸株式会社,https://www.sanetsu-u.com,山下隆志,富山県,入善町,221,4100,1972,2,未上場,BtoB,IT,一般貨物輸送,システム開発,,,,,,,,,,,,,,,,,,,
株式会社永和システムマネジメント,https://www.esm.co.jp,平鍋健児,福井県,福井市,214,6100,1980,8,未上場,BtoB,IT,システム開発,クラウド系・Fintech,,,,,,,,,,,,,,,,,,,
テックインフォメーションシステムズ株式会社,https://www.tecinfosys.co.jp,望月孝紀,静岡県,伊豆の国市,208,14000,1980,3,未上場,BtoB,IT,システム開発,クラウド系・Fintech,,,,,,,,,,,,,,,,,,,
株式会社モアソンジャパン,https://www.morson.jp,森川恭徳,静岡県,,203,8000,1982,6,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,,
株式会社静岡情報処理センター,https://www.sicis.co.jp,鈴木裕,静岡県,静岡市葵区,212,2000,1969,6,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,,
株式会社ネオシステム,https://www.neosystem.co.jp,宿沢一六,山梨県,甲府市,208,6000,1989,12,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,,
株式会社静岡日立,http://www.hitachi-hansya.jp,原秀樹,静岡県,静岡市駿河区,210,10000,1976,9,未上場,BtoB,IT,電子部品,システム開発,産業用電気設備工事,,,,,,,,,,,,,,,,,,
株式会社ジェイ・エス・エス,https://www.jss-grp.co.jp,杉本昌保,石川県,金沢市,203,10000,1980,5,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
株式会社福井新聞社,https://www.fukuishimbun.co.jp,吉田真士,福井県,福井市,252,30000,1899,2,未上場,BtoC,IT,新聞,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
株式会社ケアコネクトジャパン,https://www.carekarte.jp,齋藤芳久,静岡県,静岡市駿河区,195,10000,1989,8,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
北陸通信ネットワーク株式会社,https://www.htnet.co.jp,德光吉成,石川県,金沢市,192,600000,1993,5,未上場,BtoB,IT,通信回線,クラウド系・Fintech,,,,,,,,,,,,,,,,,,,
日本ソフテック株式会社,https://www.nsft.co.jp,丸山祐市,富山県,砺波市,199,3150,1989,9,未上場,BtoB,IT,システム開発,クラウド系・Fintech,製造・技術人材派遣,,,,,,,,,,,,,,,,,,
株式会社カラフルカンパニー,https://www.colorfulcompany.co.jp,中井義貴,石川県,金沢市,188,9800,1983,4,未上場,BtoB,IT,雑誌出版,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
ファスフォードテクノロジ株式会社,http://www.fasford-tech.com,富士原秀人,山梨県,南アルプス市,201,45050,2015,3,未上場,BtoB,IT,産業用ロボット,ソフトウェア商社,パソコン・スマホ機器販売,,,,,,,,,,,,,,,,,,
福井コンピュータアーキテクト株式会社,https://hd.fukuicompu.co.jp,田辺竜太,福井県,坂井市,204,1000,2012,7,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
株式会社ワイ・シー・シー,http://www.ycc.co.jp,長坂正彦,山梨県,甲府市,181,20000,1966,5,未上場,BtoB,IT,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,,,
株式会社金沢エンジニアリングシステムズ,http://www.kanazawa-es.com,西川修,石川県,金沢市,152,2000,1988,6,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
