会社名,ホームページURL,代表者名,住所1,住所2,従業員数,資本金,設立年,設立月,上場区分,業態,業界1,業界2-1,業界2-2,業界2-3,業界2-4,業界2-5,業界2-6,業界2-7,業界2-8,業界2-9,業界2-10,業界2-11,業界2-12,業界2-13,業界2-14,業界2-15,業界2-16,業界2-17,業界2-18,業界2-19,業界2-20
株式会社セクテス,http://www.sectes.co.jp,三浦彰,福島県,福島市,15,500,1988,6,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,
株式会社エスパステクノロジー,http://www.espace-tech.jp,田中哲三,北海道,札幌市中央区,15,1500,2010,1,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社ワイエスケイ情報システム,http://www.ysk-js.jp.,安藤七郎,青森県,青森市,15,1200,1986,10,未上場,BtoB,IT,eコマース,eコマース,,,,,,,,,,,,,,,,,,
株式会社東北制御設計,http://www.tcd.co.jp,細田浩,岩手県,滝沢市,15,-,2015,8,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,
有限会社アセットソフト,http://www.assetsoft.co.jp,吉田周二,宮城県,仙台市宮城野区,15,1800,2000,7,未上場,BtoB,IT,製造・技術人材派遣,,,,,,,,,,,,,,,,,,,
株式会社テクノシリウス,http://www.t-sirius.co.jp,稲田昌典,茨城県,水戸市,15,500,2008,4,未上場,BtoB,IT,機械設計,,,,,,,,,,,,,,,,,,,
青森ヒューマンシステム株式会社,http://www.ahs.aomori.jp,小笠原賢,青森県,青森市,15,1000,1999,4,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
有限会社アスカソフト,http://www.aska-soft.co.jp,小林浩,群馬県,安中市,15,300,1996,6,未上場,BtoB,IT,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,,
インターネット北海道株式会社,http://www.inet-do.co.jp,今井憲文,北海道,札幌市中央区,15,1000,1994,6,未上場,BtoB,IT,ITインフラストラクチャー,システム開発,,,,,,,,,,,,,,,,,,
株式会社アクティブクリエイト,https://actcrt.jp,伊藤強,山形県,山形市,15,1000,2003,6,未上場,BtoB,IT,ソフトウェア商社,Web制作,パソコン・スマホ機器販売,,,,,,,,,,,,,,,,,
あおい情報システム株式会社,http://www.aoisystems.jp,大川原啓玄,茨城県,水戸市,3,1000,2004,4,未上場,BtoB,IT,システム開発,Web制作,,,,,,,,,,,,,,,,,,
エジソンハードウェア株式会社,http://www.edison-hw.co.jp,辻誠,北海道,札幌市白石区,15,1800,1984,2,未上場,BtoB,IT,音響・映像機器,システム開発,精密機器,,,,,,,,,,,,,,,,,
有限会社デジタルクリエーション,https://www.dc-kakumei.com,森徳博,北海道,札幌市中央区,15,600,1999,12,未上場,BtoB,IT,ソフトウェア商社,Webマーケコンサル,Web制作,,,,,,,,,,,,,,,,,
株式会社東北制御設計,http://www.tcd.co.jp,細田浩,岩手県,滝沢市,15,-,2015,8,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,
株式会社テクノシリウス,http://www.t-sirius.co.jp,稲田昌典,茨城県,水戸市,15,500,2008,4,未上場,BtoB,IT,機械設計,,,,,,,,,,,,,,,,,,,
株式会社シンク,http://sinc.jp,林均,青森県,青森市,15,2000,1993,10,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社イオテクノ,http://www.io-techno.co.jp,奥智弘,北海道,札幌市中央区,14,1000,2005,6,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,
株式会社ジャーナルネット,http://www.journalnet.jp,箱田好男,群馬県,高崎市,14,2500,1986,7,未上場,BtoB,IT,システム開発,ITインフラストラクチャー,デザイン,,,,,,,,,,,,,,,,,
株式会社北見写真館,http://kitasya.luna.weblife.me,竹井雅章,北海道,北見市,14,980,2014,3,未上場,"BtoC,BtoB",IT,写真,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,
株式会社ガラッシア,https://www.galassia.co.jp,猪股雅仁,北海道,札幌市中央区,14,1000,1993,1,未上場,BtoB,IT,システム開発,パソコン・スマホ機器販売,ITインフラストラクチャー,,,,,,,,,,,,,,,,,
JDXソリューションズ株式会社,https://xos.co.jp,二見和夫,岩手県,盛岡市,14,-,2017,5,未上場,BtoB,IT,ソーシャルゲーム・SNS,Web制作,,,,,,,,,,,,,,,,,,
株式会社FF,http://futureflight.co.jp,釜澤剛璽,北海道,札幌市中央区,14,-,2012,6,未上場,BtoB,IT,ITインフラストラクチャー,経営コンサル,イベント,,,,,,,,,,,,,,,,,
株式会社高橋電機製作所,http://www.tds-i.co.jp,高橋徹,福島県,いわき市,14,2000,1967,4,未上場,BtoB,IT,半導体,試験機,電子部品,,,,,,,,,,,,,,,,,
江北情報サービス株式会社,http://www.webkic.co.jp,神谷龍夫,宮城県,仙台市宮城野区,14,1000,1988,4,未上場,BtoB,IT,ソフトウェア商社,,,,,,,,,,,,,,,,,,,
株式会社スタジオ・コムサ,https://www.commeca.co.jp,佐藤丈介,北海道,札幌市中央区,14,1000,1994,6,未上場,BtoB,IT,Webアプリ・サービス運営,紙媒体印刷,スポーツ用品,,,,,,,,,,,,,,,,,
株式会社アドバンスシステム,http://www.advance-sys.jp,濱野浩二,茨城県,筑西市,14,-,,,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社エーシーエス,http://www.acs.co.jp,渡部敞,宮城県,仙台市青葉区,14,-,1988,2,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社日本経営情報システム,https://www.nkjs.co.jp,市村浩貴,北海道,札幌市豊平区,14,1200,1989,12,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社ウィルシステム,http://www.will-system.jp,石澤博樹,北海道,札幌市中央区,14,2000,2002,6,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社国境,http://kokkyo.jp,吉田幸徳,北海道,稚内市,14,4000,1977,9,未上場,BtoB,IT,紙媒体印刷,ソフトウェア商社,システム開発,,,,,,,,,,,,,,,,,
株式会社アイ・ディー・シー,http://www.idc-net.co.jp,宍戸博之,宮城県,石巻市,14,1000,1989,1,未上場,BtoB,IT,ソフトウェア商社,PC・スマホ周辺機器製造,Web制作,,,,,,,,,,,,,,,,,
青森精機株式会社,http://www.aomoriseiki.co.jp,小又喜代志,青森県,青森市,15,2000,1965,12,未上場,BtoB,IT,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
株式会社情通,http://www.jyot.co.jp,渡邉武志,宮城県,仙台市太白区,13,2550,1988,4,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
キョードーシステムズ株式会社,http://www.e-kyodo.com,宗片悌二,山形県,山形市,13,1000,1974,10,未上場,BtoB,IT,ソフトウェア商社,システム開発,,,,,,,,,,,,,,,,,,
株式会社アルク,http://www.a-rc.co.jp,黒澤樹,茨城県,水戸市,13,1000,2010,2,未上場,BtoB,IT,土木コンサル,システム開発,太陽光パネル,,,,,,,,,,,,,,,,,
株式会社ソフテック,https://libmax.com,野村和男,北海道,札幌市西区,13,1000,1992,5,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社シルフィード,https://silpheed.jp,秦直紀,宮城県,仙台市青葉区,13,305,2003,6,未上場,BtoB,IT,ITインフラストラクチャー,デザイン,,,,,,,,,,,,,,,,,,
株式会社ワールドコミュニケーションズ,http://www.world-com.jp,平山法人,青森県,青森市,13,1000,1996,8,未上場,BtoB,IT,Web制作,システム開発,,,,,,,,,,,,,,,,,,
株式会社アイナス,http://www.inas-net.co.jp,塩見智和,茨城県,つくば市,13,1000,1992,6,未上場,BtoB,IT,業務請負,,,,,,,,,,,,,,,,,,,
株式会社プラストゥコム,https://plus-to.com,宮川隆史,北海道,札幌市中央区,13,500,2008,4,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社ハイテックシステム,http://www.hitech-system.co.jp,酒井智,北海道,恵庭市,13,3600,1991,2,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,
株式会社システムロード,http://www.systemld.co.jp,志田敦,北海道,札幌市中央区,13,300,,,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
アポロアイシーティー株式会社,http://ijk-inc.com,岩永美香,茨城県,ひたちなか市,13,300,1997,7,未上場,BtoB,IT,ITインフラストラクチャー,システム開発,製造・技術人材派遣,,,,,,,,,,,,,,,,,
株式会社GClue,http://www.gclue.com,佐々木陽,福島県,会津若松市,13,1000,2001,8,未上場,BtoC,IT,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
アップデート株式会社,https://www.sixa.jp,和氣悟志,栃木県,宇都宮市,13,1000,2007,10,未上場,BtoB,IT,システム開発,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,
アクト株式会社,http://www.devisact.co.jp,谷山直樹,北海道,札幌市中央区,13,300,2012,6,未上場,BtoB,IT,インターネット広告代理店,Web制作,デザイン,,,,,,,,,,,,,,,,,
株式会社サンコー情報システム,https://www.sancoh.biz,大﨑健司,北海道,札幌市中央区,13,1000,1993,10,未上場,BtoB,IT,システム開発,Web制作,,,,,,,,,,,,,,,,,,
株式会社CYBER DREAM,http://www.cyberdream.com,ウィットレッドブルース,宮城県,仙台市青葉区,13,300,2005,8,未上場,"BtoB,BtoC",IT,システム開発,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,
株式会社アジプロ,http://www.ajipro.jp,斉藤祥徳,北海道,札幌市中央区,13,1000,1973,4,未上場,BtoB,IT,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
株式会社エムアイシステム,http://www.mi-system.com,本間武彦,群馬県,高崎市,13,-,1996,10,未上場,BtoB,IT,ITインフラストラクチャー,システム開発,,,,,,,,,,,,,,,,,,
株式会社シルフィード,https://silpheed.jp,秦直紀,宮城県,仙台市青葉区,13,305,2003,6,未上場,BtoB,IT,ITインフラストラクチャー,デザイン,,,,,,,,,,,,,,,,,,
株式会社ページワン,http://www.pageone.ne.jp,木村譲,青森県,青森市,13,5500,1994,3,未上場,BtoB,IT,システム開発,クラウド系・Fintech,,,,,,,,,,,,,,,,,,
キョードーシステムズ株式会社,http://www.e-kyodo.com,宗片悌二,山形県,山形市,13,1000,1974,10,未上場,BtoB,IT,ソフトウェア商社,システム開発,,,,,,,,,,,,,,,,,,
株式会社テクノス,http://www.tech-nos.jp,佐藤弘康,北海道,札幌市中央区,13,300,,,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社アイナス,http://www.inas-net.co.jp,塩見智和,茨城県,つくば市,13,1000,1992,6,未上場,BtoB,IT,業務請負,,,,,,,,,,,,,,,,,,,
株式会社エービーシステム,http://www.absystem.co.jp,高村明,福島県,泉崎村,13,2000,1991,10,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社エムアイシステム,http://www.mi-system.com,本間武彦,群馬県,高崎市,13,-,1996,10,未上場,BtoB,IT,ITインフラストラクチャー,システム開発,,,,,,,,,,,,,,,,,,
有限会社緑の風,https://www.midorinokaze87.co.jp,木村昭仁,岩手県,滝沢市,13,-,1998,6,未上場,"BtoC,BtoB",IT,花屋,総合系eコマース,,,,,,,,,,,,,,,,,,
株式会社ピースネット,https://www.peacenet.co.jp,山本整,岩手県,大船渡市,13,-,1996,4,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社ワールドコミュニケーションズ,http://www.world-com.jp,平山法人,青森県,青森市,13,1000,1996,8,未上場,BtoB,IT,Web制作,システム開発,,,,,,,,,,,,,,,,,,
株式会社ワイズプランニング,http://www.wise-p.co.jp,立川雄三,北海道,札幌市中央区,13,6210,1992,11,未上場,BtoB,IT,Web制作,Webアプリ・サービス運営,ITインフラストラクチャー,,,,,,,,,,,,,,,,,
アクト株式会社,http://www.devisact.co.jp,谷山直樹,北海道,札幌市中央区,13,300,2012,6,未上場,BtoB,IT,インターネット広告代理店,Web制作,デザイン,,,,,,,,,,,,,,,,,
株式会社アイ・ティ・エス,http://www.it-systems.co.jp,下川俊克,北海道,札幌市東区,12,-,1997,5,未上場,"BtoB,BtoC",IT,研究・調査・リサーチ,システム開発,,,,,,,,,,,,,,,,,,
株式会社成和システム,http://www.seiwa-system.co.jp,山﨑好一,栃木県,小山市,12,1000,1990,3,未上場,BtoB,IT,システム開発,製造・技術人材派遣,,,,,,,,,,,,,,,,,,
有限会社コーセー事務機販売,http://cosei-jimuki.com,安部信秀,福島県,いわき市,12,1000,1986,3,未上場,BtoB,IT,オフィス用品,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,
株式会社システムサポートサーブ,http://www.ssserve.co.jp,中尾康典,北海道,札幌市豊平区,12,1000,1991,3,未上場,0,IT,システム開発,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,
株式会社デリコム,http://www.delicom.co.jp,原田英明,宮城県,仙台市宮城野区,12,-,,,未上場,BtoB,IT,自動販売機,,,,,,,,,,,,,,,,,,,
株式会社テラクリエーション,http://www.terra-creation.co.jp,内藤靖,栃木県,宇都宮市,12,-,1998,7,未上場,BtoB,IT,試験機,,,,,,,,,,,,,,,,,,,
コンピュータシステム開発株式会社,http://www.csdev.co.jp,佐藤公幸,宮城県,仙台市青葉区,12,3000,1998,1,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,
株式会社チバジョウ,http://www.chibajyo.co.jp,-,宮城県,栗原市,12,-,1988,4,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社BLINK,http://blink-stars.com,堀江之仁,栃木県,佐野市,9,-,2015,1,未上場,"BtoB,BtoC",IT,IT系教育,ITインフラストラクチャー,携帯・通信回線販売代理店,,,,,,,,,,,,,,,,,
株式会社アイ・ティー・コネクト,https://www.itc-inc.jp,宗原裕紀,北海道,札幌市中央区,12,1000,2002,3,未上場,BtoB,IT,ソフトウェア商社,Web制作,,,,,,,,,,,,,,,,,,
匠プロダクツ株式会社,http://takumiproducts.co.jp,池浦真裕,北海道,札幌市東区,12,10000,2010,12,未上場,BtoB,IT,Web制作,,,,,,,,,,,,,,,,,,,
株式会社中央保険事務所,http://www.hokensoudan-utsunomiya.jp,見木洋一,栃木県,宇都宮市,12,-,1995,6,未上場,"BtoB,BtoC",IT,保険代理店,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,
ケーアイ通信システム株式会社,http://www.ki-ts.co.jp,山中一良,茨城県,古河市,12,-,2014,5,未上場,"BtoC,BtoB",IT,通信設備工事,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,
"株式会社Eyes,JAPAN",http://www.nowhere.co.jp,山寺純,福島県,会津若松市,12,500,1997,4,未上場,BtoB,IT,ITインフラストラクチャー,情報セキュリティ,デザイン,,,,,,,,,,,,,,,,,
株式会社エス・エス・アイ,https://www.i-ssi.co.jp,岡野弘毅,茨城県,つくば市,12,3000,1997,5,未上場,BtoB,IT,システム開発,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,
株式会社ネットワン,https://kyokuichi.com,岩井健二,北海道,旭川市,12,1000,2006,9,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,
7COM株式会社,http://7com.co.jp,佐藤俊之,宮城県,仙台市宮城野区,12,700,2006,10,未上場,BtoB,IT,ITインフラストラクチャー,通信設備工事,PC・スマホ周辺機器製造,,,,,,,,,,,,,,,,,
株式会社セントラル情報オフィス,http://www.cioweb.co.jp,高橋聡仁,群馬県,太田市,12,1500,1997,8,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,
株式会社セキュリティソリューション,http://www.security-solution.co.jp,結城三智子,宮城県,名取市,12,2000,1984,5,未上場,BtoB,IT,情報セキュリティ,,,,,,,,,,,,,,,,,,,
株式会社エスアイピー,http://www.sipnet.co.jp,伊与滋,北海道,札幌市白石区,12,1000,1991,1,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,
株式会社シブエ,http://www.shibue.ne.jp,澁江証,栃木県,鹿沼市,12,-,2000,6,未上場,"BtoB,BtoC",IT,PC販売・修理,Web制作,オフィス用品,,,,,,,,,,,,,,,,,
株式会社KEYSMATE,http://www.keysmate.com,吉田和弘,北海道,札幌市中央区,12,400,2010,3,未上場,BtoB,IT,システム開発,ソフトウェア商社,,,,,,,,,,,,,,,,,,
株式会社イグナルシステムズ,http://www.ignal.co.jp,李基瀅,宮城県,仙台市宮城野区,12,600,2012,5,未上場,"BtoC,BtoB",IT,ソフトウェア商社,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,
フォームズ株式会社,https://www.formzu.com,小笠原貴史,秋田県,秋田市,11,1300,2005,11,未上場,"BtoC,BtoB",IT,システム開発,,,,,,,,,,,,,,,,,,,
有限会社ヒ・コ,http://www.fix-japan.com,皆川彦一,茨城県,桜川市,11,-,1993,12,未上場,BtoC,IT,総合系eコマース,,,,,,,,,,,,,,,,,,,
株式会社オーエヌソフトウェア,http://onsys.jp,大森孝之,栃木県,那須塩原市,11,300,1998,12,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,
株式会社エフ・ブレーンシステム,http://www.jp-fbs.com,福永仁,栃木県,鹿沼市,11,-,1990,4,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,
株式会社セーブ,https://www.savecom.co.jp,成澤正一,山形県,鶴岡市,11,1000,1988,4,未上場,BtoB,IT,システム開発,Web制作,,,,,,,,,,,,,,,,,,
合同会社オクト,http://octo-llc.com,小山正祐,宮城県,仙台市宮城野区,11,-,2014,8,未上場,"BtoC,BtoB",IT,ソーシャルゲーム・SNS,Webアプリ・サービス運営,イベント,,,,,,,,,,,,,,,,,
株式会社芹沢システムリサーチ,http://www.serizawa-sr.com,新井理麻,群馬県,高崎市,11,2500,1984,6,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,
株式会社まちづくり猪苗代,http://www.bandaisan.net,-,福島県,猪苗代町,11,4000,2001,4,未上場,"BtoB,BtoC",IT,小売店舗,Webアプリ・サービス運営,飲料品製造,,,,,,,,,,,,,,,,,
ミル株式会社,http://www.compmoto.com,-,青森県,弘前市,11,-,,,未上場,BtoB,IT,Webアプリ・サービス運営,Webマーケコンサル,,,,,,,,,,,,,,,,,,
株式会社まちづくり猪苗代,http://www.bandaisan.net,-,福島県,猪苗代町,11,4000,2001,4,未上場,"BtoB,BtoC",IT,小売店舗,Webアプリ・サービス運営,飲料品製造,,,,,,,,,,,,,,,,,
株式会社オーエヌソフトウェア,http://onsys.jp,大森孝之,栃木県,那須塩原市,11,300,1998,12,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,
株式会社ワープスペース,https://warpspace.jp,亀田敏弘,茨城県,つくば市,11,-,2016,8,未上場,BtoB,IT,宇宙開発,システム開発,,,,,,,,,,,,,,,,,,
株式会社オロパス,https://www.pascaljp.com,-,北海道,札幌市中央区,11,-,2014,3,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
ソリッドアドバンス株式会社,https://www.solid-adv.co.jp,鳥谷部浩,青森県,青森市,11,10000,2004,4,未上場,BtoB,IT,システム開発,情報セキュリティ,,,,,,,,,,,,,,,,,,
ミル株式会社,http://www.compmoto.com,-,青森県,弘前市,11,-,,,未上場,BtoB,IT,Webアプリ・サービス運営,Webマーケコンサル,,,,,,,,,,,,,,,,,,
株式会社ジード,https://www.zead.co.jp,武田文夫,栃木県,宇都宮市,11,1500,2004,4,未上場,"BtoC,BtoB",IT,クラウド系・Fintech,システム開発,,,,,,,,,,,,,,,,,,
株式会社ソフトウィング,http://www.swg.co.jp,松嶋功幸,群馬県,桐生市,11,1300,1991,7,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社ウェールズ,http://www.wales.co.jp,齋藤正泰,北海道,札幌市中央区,11,300,2003,10,未上場,BtoB,IT,ITインフラストラクチャー,Web制作,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,
株式会社ユース,http://www.usse.jp,内木進一,北海道,札幌市白石区,11,2500,2003,7,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
つくばテクノロジー株式会社,http://www.tsukubatech.co.jp,王波,茨城県,つくば市,11,2000,2005,7,未上場,BtoB,IT,システム開発,医療機器,ソフトウェア商社,,,,,,,,,,,,,,,,,
WEBOSS株式会社,https://www.weboss.co.jp,林原慎二,北海道,札幌市中央区,11,10000,2005,3,未上場,BtoB,IT,インターネット広告代理店,システム開発,Web制作,,,,,,,,,,,,,,,,,
株式会社エス・ティー・シックス,http://st6.genin.jp,戸本秀美,青森県,おいらせ町,10,5000,1994,12,未上場,BtoB,IT,保険代理店,経営コンサル,,,,,,,,,,,,,,,,,,
アウラクリエイティブ株式会社,http://www.auracreative.jp,安達智人,宮城県,仙台市泉区,10,1000,2013,5,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社プライム,http://prime-nd.co.jp,林田拓也,茨城県,水戸市,10,1000,1994,4,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社システムハウスグローバル,http://www.global-jp.com,浅川大道,群馬県,藤岡市,10,1000,1989,12,未上場,BtoB,IT,Web制作,,,,,,,,,,,,,,,,,,,
株式会社リーバー,https://www.leber.jp,伊藤俊一郎,茨城県,つくば市,10,3000,2017,2,未上場,"BtoC,BtoB",IT,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
株式会社ソルブブレイン,http://solve-brain.com,照井徹,北海道,札幌市白石区,10,400,2009,6,未上場,BtoB,IT,ソフトウェア商社,,,,,,,,,,,,,,,,,,,
ソフトイーサ株式会社,https://www.softether.jp,登大遊,茨城県,つくば市,10,4430,2004,4,未上場,BtoB,IT,ITインフラストラクチャー,システム開発,,,,,,,,,,,,,,,,,,
カムイ・イノベーション株式会社,http://www.kamuy-innovation.co.jp,増田孝,北海道,札幌市中央区,10,8950,2011,9,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社筑波心理科学研究所,http://www.tips-noh.co.jp,中山博文,茨城県,つくば市,10,1000,2005,6,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社アクティブコム,https://www.activecom.co.jp,森田正明,北海道,札幌市東区,10,1000,2001,3,未上場,BtoB,IT,Webアプリ・サービス運営,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,
株式会社ラフデザイン,https://lafu.design,山内泰弘,宮城県,大崎市,10,-,2013,1,未上場,BtoB,IT,デザイン,デジタル系コンテンツ,Web制作,,,,,,,,,,,,,,,,,
株式会社イーズ,https://www.eases.jp,川口秀夫,栃木県,佐野市,10,1300,2003,2,未上場,BtoB,IT,システム開発,Web制作,,,,,,,,,,,,,,,,,,
ICRテクノロジー株式会社,https://www.icr-technology.co.jp,-,茨城県,日立市,10,900,2007,1,未上場,BtoB,IT,Webアプリ・サービス運営,システム開発,,,,,,,,,,,,,,,,,,
有限会社ABCいわき,http://www.abc-iwaki.com,-,福島県,いわき市,10,-,2005,10,未上場,"BtoC,BtoB",IT,Webアプリ・サービス運営,デザイン,Web制作,,,,,,,,,,,,,,,,,
株式会社東北システムテクノロジー,http://www.t-sys-t.co.jp,永澤正美,宮城県,仙台市青葉区,10,1300,2005,5,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,
株式会社テイク,http://www.take-it.jp,齋藤武,北海道,札幌市中央区,10,1000,1973,9,未上場,BtoB,IT,Web制作,,,,,,,,,,,,,,,,,,,
株式会社アスカム,http://www.ascamnet.co.jp,小林竜介,北海道,札幌市中央区,10,1000,2010,9,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社イソジェック,http://www.isojec.com,磯田忠雄,北海道,別海町,10,3000,1992,7,未上場,BtoB,IT,土木コンサル,システム開発,,,,,,,,,,,,,,,,,,
株式会社iCA,http://ic-a.co.jp,小林英雄,茨城県,ひたちなか市,10,800,2015,7,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,
有限会社バリューアシスト,http://www.valueassist.co.jp,渡辺利夫,茨城県,筑西市,10,-,1994,9,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
常陽通商株式会社,http://www.joyo-plaza.co.jp,大内純子,茨城県,土浦市,10,-,1977,1,未上場,"BtoC,BtoB",IT,雑誌出版,Webアプリ・サービス運営,イベント,,,,,,,,,,,,,,,,,
株式会社ミュートネット,http://www.mutenet.co.jp,市村淳一,北海道,七飯町,10,1500,1997,5,未上場,BtoB,IT,Web制作,システム開発,ITインフラストラクチャー,,,,,,,,,,,,,,,,,
株式会社サイバーアーツ・グループ,http://cyber-arts.jp,荒井広史,群馬県,安中市,10,-,,,未上場,BtoB,IT,Web制作,Webアプリ・サービス運営,業務請負,,,,,,,,,,,,,,,,,
株式会社アイエスアイ,http://isi-tech.co.jp,岡地雅彦,北海道,札幌市中央区,10,300,,,未上場,BtoB,IT,Webアプリ・サービス運営,,,,,,,,,,,,,,,,,,,
株式会社プラネックス,https://www.goushou.com,澤田収,岩手県,釜石市,10,1600,1990,6,未上場,BtoB,IT,システム開発,Web制作,,,,,,,,,,,,,,,,,,
株式会社セイワシステム開発,http://www.seiwasystem.co.jp,静敦,群馬県,高崎市,10,1000,1990,4,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社ベネス,http://www.benes.co.jp,飯塚康史,栃木県,佐野市,10,1000,1993,2,未上場,BtoB,IT,ITインフラストラクチャー,システム開発,,,,,,,,,,,,,,,,,,
株式会社東光ホールディングス,http://www.toko-akita.co.jp,虻川東雄,秋田県,大館市,10,-,1993,12,未上場,BtoB,IT,鉄鋼製造,保険代理店,,,,,,,,,,,,,,,,,,
株式会社札幌ソフトウエアLABO,http://samuhara.co.jp,原田聡,北海道,札幌市中央区,10,800,2016,11,未上場,BtoB,IT,ソフトウェア商社,,,,,,,,,,,,,,,,,,,
b.mode株式会社,https://b-mode.info,三浦哲志,宮城県,仙台市青葉区,10,-,2006,5,未上場,BtoB,IT,Web制作,Webマーケコンサル,デザイン,,,,,,,,,,,,,,,,,
株式会社プライム,http://prime-nd.co.jp,林田拓也,茨城県,水戸市,10,1000,1994,4,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
有限会社村上測量事務所,https://www.murax2016.com,村上正則,秋田県,由利本荘市,10,600,1983,11,未上場,BtoB,IT,研究・調査・リサーチ,土木コンサル,,,,,,,,,,,,,,,,,,
株式会社東北システムテクノロジー,http://www.t-sys-t.co.jp,永澤正美,宮城県,仙台市青葉区,10,1300,2005,5,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,
株式会社テイクオフ,http://www.takeoff-com.jp,半田輝夫,栃木県,足利市,10,200,2009,10,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
株式会社サイバーアーツ・グループ,http://cyber-arts.jp,荒井広史,群馬県,安中市,10,-,,,未上場,BtoB,IT,Web制作,Webアプリ・サービス運営,業務請負,,,,,,,,,,,,,,,,,
会津トラベルサービス株式会社,http://www.aizutravel.com,木村洋介,福島県,会津若松市,10,1000,1961,6,未上場,"BtoB,BtoC",IT,国内旅行,Webアプリ・サービス運営,広告代理店,,,,,,,,,,,,,,,,,
株式会社会計情報システム,https://www.fis-kaikeijoho.com,金子将樹,北海道,札幌市白石区,9,1500,1987,6,未上場,BtoB,IT,システム開発,企業研修,事務処理代行,,,,,,,,,,,,,,,,,
株式会社ロイヤルパソコンシステム,http://rp-sys.co.jp,高橋一俊,秋田県,湯沢市,9,-,2015,5,未上場,"BtoC,BtoB",IT,ITインフラストラクチャー,ソフトウェア商社,CM制作・映像制作,,,,,,,,,,,,,,,,,
株式会社みどり工学研究所,http://midori-eng.com,繁永久美子,北海道,札幌市中央区,9,1000,2004,7,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,
